Specimen;Length;Width;Height;Volume;Mass;Density;Moisture content;Dried mass;Dried density;Growth-ring angle A;Growth-ring angle B;Growth-ring angle;Growth-ring width A;Growth-ring width B;Growth-ring width;Test span;Test velocity;Time to failure;Ultimate force;Displacement at failure;Bending strength;Force increment;Displacement increment;Elasticity Modulus;;;;;
[-];[mm];[mm];[mm];[mm³];[g];[kg/m³];[%];[g];[kg/m³];[°];[°];[°];[mm];[mm];[mm];[mm];[mm/min];[S];[N];[mm];[N/mm²];[N];[mm];[N/mm²];;;;;
Pre-test;190.48;14.99;6.13;17502.96;9.36;534.67;12.89;8.29;473.63;67.00;67.00;67.00;2.30;2.35;2.33;168.00;1.20;421.50;196.00;8.43;87.69;59.00;1.66;12201.94;;;;;
SE-01-F1;180.34;15.52;6.00;16793.26;7.58;451.31;13.80;6.66;396.59;18.00;16.00;17.00;1.17;2.22;1.69;168.00;5.50;94.84;181.00;8.69;81.64;54.00;1.65;11572.63;;;;;
SE-02-F1;180.23;15.54;6.02;16860.66;7.68;455.58;13.63;6.76;400.93;14.00;15.00;14.50;1.08;2.26;1.67;168.00;6.50;75.02;173.00;8.13;77.41;52.00;1.58;11507.30;;;;;
SE-04-F1;180.17;15.67;5.99;16911.35;7.73;457.10;13.51;6.81;402.69;6.00;8.00;7.00;2.31;1.75;2.03;168.00;7.50;72.91;147.00;9.11;65.89;44.00;1.83;8462.91;;;;;
SE-07-F1;180.20;15.58;6.03;16929.32;7.74;457.39;13.54;6.82;402.85;13.00;20.00;16.50;1.16;1.39;1.27;168.00;8.00;55.06;178.00;7.34;79.18;53.00;1.47;12511.43;;;;;
SE-08-F1;180.21;15.62;5.97;16804.83;7.22;429.36;13.45;6.36;378.46;9.00;6.00;7.50;1.95;1.94;1.94;168.00;7.50;73.78;168.00;9.22;76.05;50.00;1.79;9962.79;;;;;
SE-01-F2;180.08;14.99;6.05;16331.37;7.81;478.25;13.52;6.88;421.28;73.00;74.00;73.50;1.83;1.94;1.88;168.00;8.00;61.22;212.00;8.16;97.37;63.00;1.39;16185.49;;;;;
SE-02-F2;180.05;14.86;5.96;15946.24;7.21;452.31;13.76;6.34;397.59;78.00;83.00;80.50;1.89;1.86;1.87;168.00;8.00;79.28;185.00;10.57;88.32;56.00;1.85;11405.82;;;;;
SE-03-F2;179.80;15.06;6.05;16382.12;8.14;496.90;12.75;7.22;440.72;54.00;52.00;53.00;1.55;1.85;1.70;168.00;8.00;70.64;207.00;9.42;94.63;62.00;1.36;16204.27;;;;;
SE-04-F2;179.98;14.90;5.78;15500.24;8.14;524.88;13.79;7.15;461.28;20.00;19.00;19.50;0.85;0.61;0.73;168.00;8.00;56.52;204.00;7.54;103.27;61.00;1.36;18479.45;;;;;
SE-05-F2;180.01;15.03;5.86;15854.52;8.38;528.50;12.93;7.42;468.01;17.00;20.00;18.50;1.44;1.44;1.44;168.00;7.50;63.38;223.00;7.92;108.88;67.00;1.40;18756.97;;;;;
SE-06-F2;180.06;15.07;6.04;16389.57;8.29;506.04;12.84;7.35;448.46;49.00;52.00;50.50;1.79;1.79;1.79;168.00;7.50;69.28;223.00;8.66;102.22;67.00;1.35;17716.78;;;;;
SE-08-F2;179.90;14.88;6.22;16650.39;8.04;482.96;13.58;7.08;425.22;34.00;31.00;32.50;1.37;1.23;1.30;168.00;7.50;62.08;186.00;7.76;81.42;56.00;1.59;11659.63;;;;;
SE-09-F2;180.02;14.95;6.18;16632.23;8.24;495.30;13.94;7.23;434.70;49.00;42.00;45.50;1.01;1.03;1.02;168.00;7.50;75.10;199.00;9.39;87.83;60.00;1.74;11584.13;;;;;
SE-10-F2;180.07;14.86;5.95;15921.25;7.92;497.74;13.05;7.01;440.29;89.00;86.00;87.50;2.28;1.98;2.13;168.00;7.50;92.03;220.00;11.50;105.38;66.00;1.85;13510.47;;;;;
SE-11-F2;180.05;14.97;6.08;16387.72;7.61;464.23;13.38;6.71;409.45;71.00;74.00;72.50;2.23;1.95;2.09;168.00;7.50;65.13;200.00;8.14;91.08;61.00;1.45;14821.67;;;;;
SE-12-F2;180.07;15.02;5.93;16038.58;7.86;490.06;12.44;6.99;435.82;62.00;64.00;63.00;1.41;1.50;1.46;168.00;7.50;68.90;210.00;8.61;100.19;63.00;1.45;16443.96;;;;;
SE-13-F2;177.51;14.95;5.96;15816.50;8.14;514.48;13.81;7.15;452.06;18.00;13.00;15.50;0.92;0.99;0.96;168.00;7.50;55.56;209.00;6.95;99.18;63.00;1.41;16734.37;;;;;
SE-14-F2;180.03;15.05;6.20;16798.60;8.78;522.37;13.52;7.73;460.16;32.00;39.00;35.50;1.54;1.40;1.47;168.00;7.50;60.89;220.00;7.61;95.83;66.00;1.42;15360.73;;;;;
SE-15-F2;180.03;14.96;6.08;16374.95;7.88;481.05;13.18;6.96;425.04;77.00;68.00;72.50;2.19;2.22;2.20;168.00;7.50;80.19;198.00;10.02;90.23;60.00;1.93;10960.22;;;;;
SE-16-F2;181.04;14.97;6.19;16775.94;8.08;481.59;13.79;7.10;423.23;51.00;53.00;52.00;1.27;1.35;1.31;168.00;7.50;70.25;210.00;8.78;92.26;63.00;1.63;12904.08;;;;;
SE-17-F2;180.02;14.86;5.98;15997.08;7.26;454.05;13.14;6.42;401.32;54.00;61.00;57.50;2.82;2.25;2.53;168.00;7.50;84.50;192.00;10.56;91.05;57.00;1.76;12081.13;;;;;
SE-18-F2;179.95;14.95;5.95;16007.00;7.80;487.04;13.31;6.88;429.81;50.00;49.00;49.50;1.38;1.21;1.30;168.00;7.50;69.19;173.00;8.65;82.37;52.00;1.70;11514.11;;;;;
SE-19-F2;179.98;15.26;5.82;15984.60;8.78;549.49;12.32;7.82;489.22;22.00;25.00;23.50;1.00;1.07;1.03;168.00;7.50;62.09;221.00;7.76;107.74;66.00;1.35;19264.36;;;;;
SE-20-F2;179.89;14.74;5.80;15379.16;7.58;492.58;12.73;6.72;436.96;81.00;77.00;79.00;1.66;2.12;1.89;168.00;7.50;82.37;192.00;10.30;97.58;58.00;1.66;14401.45;;;;;
SE-21-F2;179.30;15.01;6.16;16578.36;8.98;541.73;13.11;7.94;478.94;23.00;20.00;21.50;1.37;1.26;1.31;168.00;7.50;62.78;233.00;7.85;103.09;70.00;1.36;17390.18;;;;;
SE-22-F2;180.03;14.95;5.95;16014.12;7.69;480.13;13.24;6.79;424.00;79.00;73.00;76.00;1.87;2.34;2.11;168.00;7.50;88.74;226.00;11.09;107.61;68.00;1.90;13471.97;;;;;
SE-23-F2;180.07;14.98;6.06;16346.54;7.64;467.12;13.46;6.73;411.71;59.00;64.00;61.50;2.27;1.95;2.11;168.00;7.50;76.73;205.00;9.59;93.91;61.00;1.72;12610.71;;;;;
SE-24-F2;179.99;14.98;5.97;16096.61;8.61;535.16;12.60;7.65;475.26;20.00;17.00;18.50;1.39;1.52;1.45;168.00;7.50;61.04;215.00;7.63;101.48;64.00;1.41;16880.83;;;;;
SE-25-F2;179.95;15.13;5.73;15600.75;6.75;432.47;13.39;5.95;381.39;71.00;76.00;73.50;2.04;1.91;1.97;168.00;7.50;66.45;164.00;8.31;83.19;49.00;1.59;12834.06;;;;;
SE-01-F3;190.35;14.86;5.71;16151.31;7.96;492.67;13.19;7.03;435.26;83.00;79.00;81.00;3.26;3.28;3.27;168.00;7.50;80.61;162.00;10.08;84.26;49.00;2.03;10342.86;;;;;
SE-03-F3;190.32;14.74;5.99;16803.85;9.58;570.27;13.40;8.45;502.86;90.00;89.00;89.50;1.59;1.35;1.47;168.00;7.50;71.50;231.00;8.94;110.07;69.00;1.86;13881.17;;;;;
SE-05-F3;190.10;14.94;5.39;15308.11;9.66;630.97;13.10;8.54;557.87;81.00;76.00;78.50;1.87;1.46;1.66;168.00;7.50;67.70;201.00;8.46;116.70;60.00;1.79;16984.36;;;;;
SE-06-F3;190.29;14.82;6.07;17117.99;9.00;525.91;12.67;7.99;466.76;87.00;84.00;85.50;4.69;3.92;4.30;168.00;7.50;42.23;148.00;5.28;68.30;44.00;1.36;11570.91;;;;;
SE-08-F3;191.00;14.93;5.78;16482.42;9.30;564.22;12.86;8.24;499.93;73.00;70.00;71.50;1.45;1.76;1.61;168.00;7.50;60.95;222.00;7.62;112.16;66.00;1.66;16347.84;;;;;
SE-09-F3;190.62;14.92;5.90;16779.90;9.49;565.84;13.17;8.39;500.00;82.00;82.00;82.00;1.76;1.58;1.67;168.00;7.50;62.46;224.00;7.81;108.69;67.00;1.70;15246.46;;;;;
SE-11-F3;190.41;14.90;6.10;17306.36;7.88;455.26;12.24;7.02;405.63;57.00;59.00;58.00;4.06;2.67;3.37;168.00;7.50;78.54;179.00;9.82;81.36;54.00;1.81;10457.00;;;;;
SE-12-F3;190.21;14.90;5.61;15899.46;9.50;597.62;12.98;8.41;528.95;89.00;87.00;88.00;1.46;1.56;1.51;168.00;7.50;61.85;191.00;7.73;102.64;57.00;1.82;14112.26;;;;;
SE-13-F3;190.24;14.83;5.41;15263.01;9.56;626.08;13.09;8.45;553.63;89.00;87.00;88.00;1.60;1.68;1.64;168.00;7.50;75.74;191.00;9.47;110.89;57.00;2.00;14387.32;;;;;
SE-14-F3;190.30;14.89;6.09;17256.42;7.21;417.90;12.33;6.42;372.04;68.00;66.00;67.00;3.15;2.94;3.04;168.00;7.50;67.56;154.00;8.45;70.27;46.00;1.90;8533.47;;;;;
SE-16-F3;190.31;14.92;5.91;16781.00;8.49;506.17;12.65;7.54;449.32;79.00;83.00;81.00;3.13;3.91;3.52;168.00;7.50;55.96;168.00;7.00;81.24;50.00;1.61;11953.10;;;;;
SE-17-F3;190.09;15.05;6.12;17508.43;9.42;538.15;12.98;8.34;476.34;79.00;80.00;79.50;3.03;2.60;2.81;168.00;7.50;58.94;224.00;7.37;100.14;67.00;1.65;13953.01;;;;;
