Specimen;Length;Width;Height;Volume;Mass;Density;Moisture content;Dried mass;Dried density;Growth-ring angle A;Growth-ring angle B;Growth-ring angle;Growth-ring width A;Growth-ring width B;Growth-ring width;Test span;Test velocity;Time to failure;Ultimate force;Displacement at failure;Bending strength;Frequency;Dynamic modulus of elasticity;Force increment;Displacement increment;Elasticity modulus
[-];[mm];[mm];[mm];[mm³];[g];[kg/m³];[%];[g];[kg/m³];[°];[°];[°];[mm];[mm];[mm];[mm];[mm/min];[S];[N];[mm];[N/mm²];[Hz];[N/mm²];[N];[mm];[N/mm²]
Pretest (SE-45-F2-50%);600.50;49.93;19.99;599359.47;334.90;558.76;12.00;;498.90;30.00;43.00;36.50;1.58;1.05;1.31;560.00;24.00;62.33;2508.00;24.93;105.59;;;;;
SE-09-F1-50%;600.00;50.00;20.00;600000.00;253.10;421.83;12.00;;376.64;9.00;9.00;9.00;3.43;2.90;3.16;560.00;20.00;67.74;1618.00;22.58;67.96;4333.00;11491.00;485.00;5.41;9834.40
SE-10-F1-50%;601.00;50.00;20.00;601000.00;264.20;439.60;12.00;;392.50;0.00;1.00;0.50;2.91;2.86;2.88;560.00;18.00;99.53;1779.00;29.86;74.72;4334.00;12054.00;534.00;5.80;10110.72
SE-11-F1-50%;601.00;50.00;20.00;601000.00;265.60;441.93;12.00;;394.58;35.00;32.00;33.50;1.98;1.96;1.97;560.00;18.00;83.90;1867.00;25.17;78.41;4334.00;12009.00;559.00;5.19;11815.10
SE-12-F1-50%;600.00;50.00;20.00;600000.00;264.30;440.50;12.00;;393.30;31.00;28.00;29.50;1.85;2.15;2.00;560.00;18.00;78.67;1877.00;23.60;78.83;4334.00;12034.00;563.00;5.21;11860.82
SE-13-F1-50%;600.00;50.00;20.00;600000.00;262.30;437.17;12.00;;390.33;11.00;11.00;11.00;2.76;2.87;2.82;560.00;18.00;102.83;1793.00;30.85;75.31;4334.00;11944.00;538.00;5.64;10466.30
SE-20-F1-50%;600.00;50.00;20.00;600000.00;276.10;460.17;12.00;;410.86;57.00;64.00;60.50;1.41;1.87;1.64;560.00;18.00;97.97;2248.00;29.39;94.42;4334.00;12529.00;674.00;4.93;15014.87
SE-21-F1-50%;600.00;50.00;20.00;600000.00;258.60;431.00;12.00;;384.82;62.00;62.00;62.00;1.71;1.78;1.75;560.00;18.00;76.50;1840.00;22.95;77.28;4334.00;11763.00;552.00;4.86;12464.00
SE-22-F1-50%;600.00;50.00;20.00;600000.00;271.20;452.00;12.00;;403.57;67.00;65.00;66.00;1.52;1.80;1.66;560.00;18.00;71.43;1954.00;21.43;82.07;4334.00;12304.00;586.00;4.45;14463.54
SE-26-F2-50%;601.00;50.00;20.00;601000.00;311.30;517.97;12.00;;462.47;55.00;55.00;55.00;0.99;0.90;0.95;560.00;18.00;70.63;2386.00;21.19;100.21;4334.00;14134.00;716.00;4.51;17444.65
SE-27-F2-50%;601.00;50.00;20.00;601000.00;290.70;483.69;12.00;;431.87;44.00;34.00;39.00;1.62;1.85;1.73;560.00;18.00;110.60;2354.00;33.18;98.87;4334.00;13182.00;706.00;5.03;15421.01
SE-28-F2-50%;601.00;50.00;20.00;601000.00;308.50;513.31;12.00;;458.31;50.00;50.00;50.00;1.62;1.65;1.64;560.00;18.00;72.17;2274.00;21.65;95.51;4334.00;13995.00;681.00;4.97;15048.63
SE-29-F2-50%;601.00;50.00;20.00;601000.00;279.10;464.39;12.00;;414.64;14.00;19.00;16.50;2.03;1.91;1.97;560.00;18.00;82.60;2217.00;24.78;93.11;4334.00;12686.00;665.00;4.49;16263.46
SE-30-F2-50%;601.00;50.00;20.00;601000.00;344.30;572.88;12.00;;511.50;14.00;18.00;16.00;0.95;0.82;0.88;560.00;18.00;85.50;2611.00;25.65;109.66;4334.00;15530.00;783.00;4.85;17738.30
SE-31-F2-50%;600.00;50.00;20.00;600000.00;292.30;487.17;12.00;;434.97;2.00;3.00;2.50;1.20;1.02;1.11;560.00;18.00;95.13;2079.00;28.54;87.32;4334.00;13251.00;623.00;5.11;13384.32
SE-32-F2-50%;600.00;50.00;20.00;600000.00;272.60;454.33;12.00;;405.65;29.00;27.00;28.00;1.53;1.71;1.62;560.00;18.00;90.10;2077.00;27.03;87.23;4334.00;12349.00;623.00;5.10;13407.94
SE-33-F2-50%;601.00;50.00;20.00;601000.00;295.10;491.01;12.00;;438.41;45.00;38.00;41.50;1.91;1.78;1.84;560.00;18.00;89.93;2382.00;26.98;100.04;4334.00;13408.00;714.00;4.73;16575.43
SE-34-F2-50%;601.00;50.00;20.00;601000.00;264.40;439.93;12.00;;392.80;31.00;31.00;31.00;1.78;1.82;1.80;560.00;18.00;93.37;1967.00;28.01;82.61;4334.00;12009.00;590.00;5.50;11776.40
SE-35-F2-50%;600.00;50.00;20.00;600000.00;308.50;514.17;12.00;;459.08;31.00;44.00;37.50;1.32;1.35;1.34;560.00;18.00;100.03;2533.00;30.01;106.39;4334.00;14017.00;760.00;4.92;16965.14
SE-36-F2-50%;600.00;50.00;20.00;600000.00;307.20;512.00;12.00;;457.14;24.00;23.00;23.50;1.68;1.68;1.68;560.00;18.00;85.53;2448.00;25.66;102.82;4334.00;13882.00;734.00;4.41;18251.89
SE-37-F2-50%;601.00;50.00;20.00;601000.00;318.50;529.95;12.00;;473.17;36.00;38.00;37.00;0.98;1.11;1.04;560.00;18.00;80.30;2493.00;24.09;104.71;4334.00;14446.00;748.00;4.62;17759.13
SE-38-F2-50%;601.00;50.00;20.00;601000.00;318.10;529.28;12.00;;472.58;42.00;49.00;45.50;1.08;1.36;1.22;560.00;18.00;98.10;2422.00;29.43;101.72;4334.00;14446.00;726.00;4.99;15969.09
SE-39-F2-50%;600.00;50.00;20.00;600000.00;260.90;434.83;12.00;;388.24;20.00;25.00;22.50;2.71;2.20;2.45;560.00;18.00;67.60;1841.00;20.28;77.32;4334.00;11808.00;552.00;4.71;12877.26
SE-40-F2-50%;600.00;50.00;20.00;600000.00;305.00;508.33;12.00;;453.87;45.00;57.00;51.00;1.77;1.70;1.73;560.00;18.00;71.10;2158.00;21.33;90.64;4334.00;13791.00;646.00;4.75;14921.08
SE-41-F2-50%;600.00;50.00;20.00;600000.00;310.70;517.83;12.00;;462.35;54.00;52.00;53.00;1.77;1.70;1.73;560.00;18.00;82.13;2538.00;24.64;106.60;4334.00;14062.00;761.00;4.67;17889.78
SE-42-F2-50%;600.00;50.00;20.00;600000.00;308.80;514.67;12.00;;459.52;28.00;30.00;29.00;1.99;1.85;1.92;560.00;18.00;74.03;2449.00;22.21;102.86;4334.00;13972.00;734.00;4.36;18499.16
