growth_ring_width1,growth_ring_width2,angle,density,strength,elasticity_modulus
8.64,10.76,8.5,420.6,36.95,6451.39
6.41,7.85,18.5,404.62,54.26,9553.73
3.76,7.16,23.5,425.28,51.22,9038.63
5.43,9.14,10.0,429.56,75.2,8320.01
3.05,9.79,10.5,447.88,77.86,13190.26
2.67,4.16,9.0,453.73,93.55,12792.92
3.6,6.0,0.0,442.82,82.11,13501.04
4.0,6.06,6.0,421.77,69.24,11597.2
6.22,7.84,17.5,413.58,54.73,8919.98
3.61,4.59,17.5,443.6,66.75,13528.82
8.2,9.17,8.0,411.24,41.98,8702.25
3.83,4.21,13.0,438.14,65.69,10724.17
1.48,1.64,11.0,379.54,59.39,10970.56
2.43,2.44,26.0,377.8,43.4,9943.28
1.7,1.75,20.0,378.69,62.51,8967.02
1.26,1.51,10.0,362.65,73.87,10871.36
2.42,2.58,43.0,412.52,68.3,16082.67
2.2,2.43,75.0,421.54,84.6,18312.9
2.44,2.53,80.0,397.99,72.32,15990.1
2.15,2.22,85.0,414.8,83.63,20226.77
2.28,2.44,27.0,442.0,55.25,16888.25
2.03,2.05,27.0,425.12,80.15,17167.13
2.08,2.09,21.0,363.93,63.17,18652.36
2.27,2.48,32.0,449.62,94.64,18227.96
1.57,1.63,58.0,426.22,75.31,17937.04
2.65,2.78,41.0,439.49,62.12,20951.42
1.2,1.28,45.0,427.23,73.23,17888.91
1.21,1.38,32.0,413.0,72.19,19210.18
