Width;Height;Density;Growth-ring width;Test span;Dynamic E;Bending strength;source_file;source_row
14,99;6,13;534,67;2,33;168,00;15090,11;87,69;Size_A;1
15,52;6,00;451,31;1,69;168,00;12021,06;81,64;Size_A;2
15,54;6,02;455,58;1,67;168,00;13364,81;77,41;Size_A;3
15,67;5,99;457,10;2,03;168,00;11341,85;65,89;Size_A;4
15,60;6,04;438,11;2,08;168,00;10663,93;68,63;Size_A;5
15,58;6,03;457,39;1,27;168,00;13194,19;79,18;Size_A;6
15,62;5,97;429,36;1,94;168,00;10444,71;76,05;Size_A;7
14,99;6,05;478,25;1,88;168,00;15358,52;97,37;Size_A;8
14,86;5,96;452,31;1,87;168,00;11792,66;88,32;Size_A;9
15,06;6,05;496,90;1,70;168,00;15875,67;94,63;Size_A;10
14,90;5,78;524,88;0,73;168,00;18214,39;103,27;Size_A;11
15,03;5,86;528,50;1,44;168,00;16838,68;108,88;Size_A;12
15,07;6,04;506,04;1,79;168,00;16273,65;102,22;Size_A;13
14,86;6,00;502,75;1,30;168,00;15324,74;98,92;Size_A;14
14,88;6,22;482,96;1,30;168,00;12567,69;81,42;Size_A;15
14,95;6,18;495,30;1,02;168,00;12150,60;87,83;Size_A;16
14,86;5,95;497,74;2,13;168,00;13214,49;104,90;Size_A;17
14,97;6,08;464,23;2,09;168,00;14759,68;91,08;Size_A;18
15,02;5,93;490,06;1,46;168,00;16019,43;100,19;Size_A;19
14,95;5,96;514,48;0,96;168,00;16695,87;99,18;Size_A;20
15,05;6,20;522,37;1,47;168,00;13897,33;95,83;Size_A;21
14,96;6,08;481,05;2,20;168,00;11923,50;90,23;Size_A;22
14,97;6,19;481,59;1,31;168,00;10995,04;92,26;Size_A;23
14,86;5,98;454,05;2,53;168,00;10327,85;91,05;Size_A;24
14,95;5,95;487,04;1,30;168,00;11823,84;82,37;Size_A;25
15,26;5,82;549,49;1,03;168,00;19084,85;107,74;Size_A;26
14,74;5,80;492,58;1,89;168,00;14953,07;97,58;Size_A;27
15,01;6,16;541,73;1,31;168,00;17255,49;103,09;Size_A;28
14,95;5,95;480,13;2,11;168,00;12528,13;107,61;Size_A;29
14,98;6,06;467,12;2,11;168,00;11960,53;93,91;Size_A;30
14,98;5,97;535,16;1,45;168,00;17419,49;101,48;Size_A;31
15,13;5,73;432,47;1,97;168,00;13518,47;83,19;Size_A;32
14,86;5,71;492,67;3,27;168,00;10087,14;84,26;Size_A;33
14,74;5,99;570,27;1,47;168,00;15802,14;110,07;Size_A;34
14,94;5,39;630,97;1,66;168,00;24145,24;116,70;Size_A;35
14,82;6,07;525,91;4,30;168,00;11551,54;68,30;Size_A;36
14,93;5,78;564,22;1,61;168,00;19790,13;112,16;Size_A;37
14,92;5,90;565,84;1,67;168,00;13602,10;108,69;Size_A;38
14,91;5,76;492,29;3,68;168,00;11455,97;65,72;Size_A;39
14,90;6,10;455,26;3,37;168,00;8676,87;81,36;Size_A;40
14,90;5,61;597,62;1,51;168,00;19227,87;102,64;Size_A;41
