Width;Height;Density;Growth-ring width;Test span;Dynamic E;Bending strength;source_file;source_row;Measured bending strength;Predicted bending strength;Error;Absolute error;Squared error;Absolute percentage error (%)
50,35;20,38;433,91;1,11;560,0;12933,04;59,65;Size_B_validation;1;59,65;86,80311828251811;-27,153118282518115;27,153118282518115;737,2918324644195;45,52073475694571
50,36;20,46;469,8;1,85;560,0;16391,35;93,32;Size_B_validation;2;93,32;93,13041817012012;0,18958182987987016;0,18958182987987016;0,03594127022060003;0,20315241092999375
50,42;20,39;464,16;2,03;560,0;15278,59;86,36;Size_B_validation;3;86,36;89,67889327248498;-3,318893272484985;3,318893272484985;11,015052554146092;3,8430908667033172
50,29;20,35;490,46;1,82;560,0;13359,02;71,67;Size_B_validation;4;71,67;92,75031655725333;-21,080316557253326;21,080316557253326;444,3797461540087;29,41302714839309
50,35;20,39;452,11;2,12;560,0;14988,9;81,3;Size_B_validation;5;81,3;87,60614697929806;-6,306146979298063;6,306146979298063;39,767489724510085;7,756638350920126
50,24;20,38;508,14;1,37;560,0;16121,53;83,37;Size_B_validation;6;83,37;100,27634761459356;-16,906347614593557;16,906347614593557;285,82458966547324;20,27869451192702
50,15;20,32;520,39;1,39;560,0;16918,4;98,7;Size_B_validation;7;98,7;102,71632997158933;-4,016329971589329;4,016329971589329;16,13090644068674;4,069229961083413
50,23;20,52;583,88;1,34;560,0;18862,89;101,2;Size_B_validation;8;101,2;115,30497248969985;-14,104972489699847;14,104972489699847;198,9502489351895;13,937719851482061
50,31;20,48;537,88;1,49;560,0;17665,48;103,02;Size_B_validation;9;103,02;106,13165846457167;-3,1116584645716756;3,1116584645716756;9,682418400140557;3,0204411420808346
50,32;20,38;520,68;1,43;560,0;16610,27;103,93;Size_B_validation;10;103,93;101,98239980200296;1,9476001979970476;1,9476001979970476;3,7931465312381394;1,8739538131406213
50,18;20,34;469,27;1,74;560,0;15643,98;91,89;Size_B_validation;11;91,89;92,64112268957265;-0,7511226895726537;0,7511226895726537;0,5641852947908571;0,8174150501389201
50,28;20,24;509,94;1,18;560,0;17750,02;98,69;Size_B_validation;12;98,69;101,5927573947798;-2,9027573947797976;2,9027573947797976;8,426000492948797;2,9412882711316217
50,29;20,35;516,53;1,71;560,0;15745,22;95,43;Size_B_validation;13;95,43;99,33368628422016;-3,903686284220157;3,903686284220157;15,238766605608578;4,090627983045328
49,79;20,38;572,33;1,23;560,0;17200,12;109,02;Size_B_validation;14;109,02;113,35707186084353;-4,337071860843537;4,337071860843537;18,81019232612082;3,978235058561307
50,13;20,33;426,19;2,17;560,0;12431,64;62,15;Size_B_validation;15;62,15;81,66135615568928;-19,511356155689278;19,511356155689278;380,69301903415385;31,3939761153488
50,06;20,26;519,71;2,12;560,0;17796,27;92,27;Size_B_validation;16;92,27;100,56632065485766;-8,296320654857666;8,296320654857666;68,82893640821794;8,991352178235251
50,09;20,4;428,53;2,97;560,0;12694,1;73,26;Size_B_validation;17;73,26;79,8665623512964;-6,60656235129639;6,60656235129639;43,64666610156688;9,0179666274862
50,38;20,23;476,05;1,81;560,0;17052,79;93,62;Size_B_validation;18;93,62;92,94484625483423;0,6751537451657725;0,6751537451657725;0,4558325796113689;0,7211640089358817
50,11;20,2;538,17;1,44;560,0;17434,13;99,25;Size_B_validation;19;99,25;104,8662274404673;-5,6162274404672985;5,6162274404672985;31,542010663057862;5,6586674463146585
50,31;20,17;511,6;2,22;560,0;15935,07;68,5;Size_B_validation;20;68,5;95,29184097692668;-26,79184097692668;26,79184097692668;717,8027429329275;39,112176608652085
49,83;20,43;536,45;1,75;560,0;18963,88;101,9;Size_B_validation;21;101,9;108,0158302409551;-6,115830240955091;6,115830240955091;37,40337953618081;6,001796114774378
50,28;20,34;465,03;2,02;560,0;16539,59;92,39;Size_B_validation;22;92,39;91,33953596827567;1,0504640317243314;1,0504640317243314;1,1034746819465373;1,136988885944725
50,08;19,96;524,14;1,67;560,0;17580,84;101,17;Size_B_validation;23;101,17;100,30765224559623;0,8623477544037712;0,8623477544037712;0,7436436495252269;0,852374967286519
50,31;20,41;486,77;1,85;560,0;14694,96;72,19;Size_B_validation;24;72,19;93,78444676569819;-21,594446765698194;21,594446765698194;466,3201311165732;29,913349169827114
50,08;20,33;437,32;3,47;560,0;12013,34;83,36;Size_B_validation;25;83,36;78,02089343160021;5,339106568399785;5,339106568399785;28,50605894872973;6,4048783210170175
