Width;Height;Density;Growth-ring width;Test span;Dynamic E;Bending strength;source_file;source_row;Measured bending strength;Predicted bending strength;Error;Absolute error;Squared error;Absolute percentage error (%)
50,35;20,38;433,91;1,11;560,0;12933,04;59,65;Size_B_validation;1;59,65;85,61321693723855;-25,96321693723855;25,96321693723855;674,0886337301107;43,525929484054565
50,36;20,46;469,8;1,85;560,0;16391,35;93,32;Size_B_validation;2;93,32;90,5064525327588;2,813547467241193;2,813547467241193;7,916049350419333;3,0149458500227104
50,42;20,39;464,16;2,03;560,0;15278,59;86,36;Size_B_validation;3;86,36;87,74565397445402;-1,3856539744540157;1,3856539744540157;1,9200369369202102;1,604509002378434
50,29;20,35;490,46;1,82;560,0;13359,02;71,67;Size_B_validation;4;71,67;90,82121918095018;-19,15121918095018;19,15121918095018;366,76919611679403;26,721388559997454
50,35;20,39;452,11;2,12;560,0;14988,9;81,3;Size_B_validation;5;81,3;85,55788121354868;-4,257881213548686;4,257881213548686;18,12955242869083;5,237246265127535
50,24;20,38;508,14;1,37;560,0;16121,53;83,37;Size_B_validation;6;83,37;97,665400173841;-14,295400173840989;14,295400173840989;204,35846613025296;17,14693555696412
50,15;20,32;520,39;1,39;560,0;16918,4;98,7;Size_B_validation;7;98,7;99,94109317261697;-1,2410931726169707;1,2410931726169707;1,5403122631164579;1,2574398912026046
50,23;20,52;583,88;1,34;560,0;18862,89;101,2;Size_B_validation;8;101,2;110,99410104130925;-9,794101041309247;9,794101041309247;95,92441520737488;9,677965455839177
50,31;20,48;537,88;1,49;560,0;17665,48;103,02;Size_B_validation;9;103,02;102,71778050155825;0,3022194984417439;0,3022194984417439;0,09133662523837924;0,29336002566661223
50,32;20,38;520,68;1,43;560,0;16610,27;103,93;Size_B_validation;10;103,93;99,42819656868723;4,50180343131278;4,50180343131278;20,26623413417952;4,331572627068969
50,18;20,34;469,27;1,74;560,0;15643,98;91,89;Size_B_validation;11;91,89;90,2695800707276;1,6204199292724013;1,6204199292724013;2,625760747183174;1,7634344643295257
50,28;20,24;509,94;1,18;560,0;17750,02;98,69;Size_B_validation;12;98,69;99,655203394175;-0,9652033941750062;0,9652033941750062;0,9316175921269524;0,9780153958607825
50,29;20,35;516,53;1,71;560,0;15745,22;95,43;Size_B_validation;13;95,43;96,90476329728746;-1,4747632972874527;1,4747632972874527;2,1749267830261596;1,5453875063265772
49,79;20,38;572,33;1,23;560,0;17200,12;109,02;Size_B_validation;14;109,02;108,84024117240335;0,1797588275966433;0,1797588275966433;0,03231323609891973;0,1648861012627438
50,13;20,33;426,19;2,17;560,0;12431,64;62,15;Size_B_validation;15;62,15;79,81836204570992;-17,66836204570992;17,66836204570992;312,17101737828284;28,428579317312824
50,06;20,26;519,71;2,12;560,0;17796,27;92,27;Size_B_validation;16;92,27;97,44484536713648;-5,174845367136484;5,174845367136484;26,779024573773935;5,608372566529191
50,09;20,4;428,53;2,97;560,0;12694,1;73,26;Size_B_validation;17;73,26;77,1845855430922;-3,924585543092192;3,924585543092192;15,402371685048236;5,357064623385465
50,38;20,23;476,05;1,81;560,0;17052,79;93,62;Size_B_validation;18;93,62;91,4700508505034;2,1499491494966065;2,1499491494966065;4,6222813454211815;2,29646352221385
50,11;20,2;538,17;1,44;560,0;17434,13;99,25;Size_B_validation;19;99,25;102,38670029836652;-3,13670029836652;3,13670029836652;9,838888761772617;3,160403323291204
50,31;20,17;511,6;2,22;560,0;15935,07;68,5;Size_B_validation;20;68,5;93,69480445946019;-25,194804459460187;25,194804459460187;634,7781717504349;36,78073643716815
49,83;20,43;536,45;1,75;560,0;18963,88;101,9;Size_B_validation;21;101,9;103,14912356602134;-1,2491235660213391;1,2491235660213391;1,5603096831898668;1,225832743887477
50,28;20,34;465,03;2,02;560,0;16539,59;92,39;Size_B_validation;22;92,39;89,06001658776258;3,329983412237425;3,329983412237425;11,088789525776404;3,6042682240907293
50,08;19,96;524,14;1,67;560,0;17580,84;101,17;Size_B_validation;23;101,17;99,00037604488261;2,1696239551173875;2,1696239551173875;4,707268106619216;2,1445329199539267
50,31;20,41;486,77;1,85;560,0;14694,96;72,19;Size_B_validation;24;72,19;91,41178679631915;-19,22178679631915;19,22178679631915;369,4770876431492;26,62666130533197
50,08;20,33;437,32;3,47;560,0;12013,34;83,36;Size_B_validation;25;83,36;75,53735708001902;7,822642919980979;7,822642919980979;61,193742253528534;9,384168570034763
