Width;Height;Density;Growth-ring width;Test span;Dynamic E;Bending strength;source_file;source_row;Measured bending strength;Predicted bending strength;Error;Absolute error;Squared error;Absolute percentage error (%)
50,35;20,38;433,91;1,11;560,0;12933,04;59,65;Size_B_validation;1;59,65;86,91129364678979;-27,261293646789788;27,261293646789788;743,1781312965013;45,702084906604846
50,36;20,46;469,8;1,85;560,0;16391,35;93,32;Size_B_validation;2;93,32;91,14202050987225;2,17797949012774;2,17797949012774;4,74359465941709;2,333882865546228
50,42;20,39;464,16;2,03;560,0;15278,59;86,36;Size_B_validation;3;86,36;88,1152907903867;-1,7552907903866952;1,7552907903866952;3,0810457588163493;2,0325275479234546
50,29;20,35;490,46;1,82;560,0;13359,02;71,67;Size_B_validation;4;71,67;90,21345274051784;-18,543452740517836;18,543452740517836;343,85963953981843;25,873381806219946
50,35;20,39;452,11;2,12;560,0;14988,9;81,3;Size_B_validation;5;81,3;86,09746777903587;-4,79746777903587;4,79746777903587;23,01569709088736;5,900944377657896
50,24;20,38;508,14;1,37;560,0;16121,53;83,37;Size_B_validation;6;83,37;97,66247391054513;-14,292473910545127;14,292473910545127;204,2748104836131;17,143425585396578
50,15;20,32;520,39;1,39;560,0;16918,4;98,7;Size_B_validation;7;98,7;99,8350142846633;-1,1350142846632991;1,1350142846632991;1,2882574263897406;1,14996381424853
50,23;20,52;583,88;1,34;560,0;18862,89;101,2;Size_B_validation;8;101,2;109,7188738176055;-8,518873817605495;8,518873817605495;72,57121112028443;8,417859503562743
50,31;20,48;537,88;1,49;560,0;17665,48;103,02;Size_B_validation;9;103,02;102,20923626039792;0,8107637396020806;0,8107637396020806;0,6573378414535503;0,7869964469055335
50,32;20,38;520,68;1,43;560,0;16610,27;103,93;Size_B_validation;10;103,93;99,17232131362661;4,757678686373396;4,757678686373396;22,63550648277168;4,577772237441928
50,18;20,34;469,27;1,74;560,0;15643,98;91,89;Size_B_validation;11;91,89;90,86726838921723;1,0227316107827704;1,0227316107827704;1,0459799476943201;1,1129955498778652
50,28;20,24;509,94;1,18;560,0;17750,02;98,69;Size_B_validation;12;98,69;100,2143478301659;-1,5243478301659081;1,5243478301659081;2,3236363073315123;1,5445818524327777
50,29;20,35;516,53;1,71;560,0;15745,22;95,43;Size_B_validation;13;95,43;96,3219570544527;-0,8919570544526891;0,8919570544526891;0,7955873869879174;0,9346715440141351
49,79;20,38;572,33;1,23;560,0;17200,12;109,02;Size_B_validation;14;109,02;107,60374717242391;1,4162528275760877;1,4162528275760877;2,0057720716172636;1,2990761581141879
50,13;20,33;426,19;2,17;560,0;12431,64;62,15;Size_B_validation;15;62,15;80,36899583522;-18,218995835220007;18,218995835220007;331,93180924376395;29,31455484347547
50,06;20,26;519,71;2,12;560,0;17796,27;92,27;Size_B_validation;16;92,27;97,01986470328241;-4,749864703282412;4,749864703282412;22,56121469948812;5,147788775639333
50,09;20,4;428,53;2,97;560,0;12694,1;73,26;Size_B_validation;17;73,26;77,08106515814293;-3,821065158142929;3,821065158142929;14,600538942773847;5,215759156624254
50,38;20,23;476,05;1,81;560,0;17052,79;93,62;Size_B_validation;18;93,62;92,21509108194797;1,4049089180520298;1,4049089180520298;1,973769068022125;1,5006504144969341
50,11;20,2;538,17;1,44;560,0;17434,13;99,25;Size_B_validation;19;99,25;101,95377530722035;-2,7037753072203543;2,7037753072203543;7,310400911934521;2,7242068586603065
50,31;20,17;511,6;2,22;560,0;15935,07;68,5;Size_B_validation;20;68,5;92,93248056490016;-24,43248056490016;24,43248056490016;596,9461065542241;35,667854839270305
49,83;20,43;536,45;1,75;560,0;18963,88;101,9;Size_B_validation;21;101,9;102,85228330501701;-0,952283305017005;0,952283305017005;0,9068434930141102;0,9345272865721344
50,28;20,34;465,03;2,02;560,0;16539,59;92,39;Size_B_validation;22;92,39;89,76327539892777;2,626724601072226;2,626724601072226;6,8996821298780455;2,8430832352767896
50,08;19,96;524,14;1,67;560,0;17580,84;101,17;Size_B_validation;23;101,17;98,85878806925;2,311211930750005;2,311211930750005;5,341700588841166;2,284483474103
50,31;20,41;486,77;1,85;560,0;14694,96;72,19;Size_B_validation;24;72,19;91,19598333468475;-19,005983334684757;19,005983334684757;361,2274025183147;26,32772313988746
50,08;20,33;437,32;3,47;560,0;12013,34;83,36;Size_B_validation;25;83,36;74,65447195862384;8,705528041376155;8,705528041376155;75,78621847918656;10,443291796276577
