fold;original_index;current_index;true_value;predicted_value;error;absolute_error;squared_error;rmse;Width;Height;Density;Growth-ring width;Test span;Dynamic E
36;38;35;65,72;83,90259374626908;-18,182593746269077;18,182593746269077;330,6067153418634;18,182593746269077;14,91;5,76;492,29;3,68;168,0;11455,97
89;92;88;76,66;90,7160081737628;-14,056008173762805;14,056008173762805;197,5713657808868;14,056008173762805;100,88;40,15;490,25;1,21;1120,0;12677,0
16;16;15;104,9;91,14715244856187;13,752847551438137;13,752847551438137;189,14081577309796;13,752847551438137;14,86;5,95;497,74;2,13;168,0;13214,49
14;14;13;81,42;94,69409199102478;-13,274091991024775;13,274091991024775;176,20151818618808;13,274091991024775;14,88;6,22;482,96;1,3;168,0;12567,69
1;0;0;87,69;99,55861522815263;-11,868615228152635;11,868615228152635;140,86402743393663;11,868615228152635;14,99;6,13;534,67;2,33;168,0;15090,11
23;23;22;91,05;80,44111329818448;10,608886701815521;10,608886701815521;112,54847705195822;10,608886701815521;14,86;5,98;454,05;2,53;168,0;10327,85
67;69;66;106,55;96,13947283333403;10,410527166665972;10,410527166665972;108,37907588789022;10,410527166665972;50,0;20,0;517,83;1,73;560,0;14062,0
4;4;3;68,63;78,5816474912636;-9,9516474912636;9,9516474912636;99,0352877903731;9,9516474912636;15,6;6,04;438,11;2,08;168,0;10663,93
24;24;23;82,37;92,10858286240992;-9,738582862409913;9,738582862409913;94,83999616802406;9,738582862409913;14,95;5,95;487,04;1,3;168,0;11823,84
38;40;37;102,64;112,36786723745692;-9,72786723745692;9,72786723745692;94,63140098958772;9,72786723745692;14,9;5,61;597,62;1,51;168,0;19227,87
76;78;75;64,96;74,2914858741674;-9,331485874167413;9,331485874167413;87,07662861978596;9,331485874167413;100,04;40,19;408,75;2,61;1120,0;9165,0
61;63;60;106,39;97,0704829426104;9,319517057389604;9,319517057389604;86,85339818297578;9,319517057389604;50,0;20,0;514,17;1,34;560,0;14017,0
90;93;89;96,53;105,45250948414493;-8,922509484144925;8,922509484144925;79,61117549465614;8,922509484144925;101,26;39,36;605,26;1,15;1120,0;17923,0
59;61;58;100,0;91,24817768319708;8,751822316802915;8,751822316802915;76,59439386488954;8,751822316802915;50,0;20,0;491,01;1,84;560,0;13408,0
15;15;14;87,83;96,57154818776009;-8,741548187760088;8,741548187760088;76,41466471893169;8,741548187760088;14,95;6,18;495,3;1,02;168,0;12150,6
53;55;52;98,87;90,38385491529235;8,486145084707658;8,486145084707658;72,01465839870795;8,486145084707658;50,0;20,0;483,69;1,73;560,0;13182,0
11;11;10;108,88;100,47647279745975;8,403527202540246;8,403527202540246;70,6192694438339;8,403527202540246;15,03;5,86;528,5;1,44;168,0;16838,68
86;88;85;87,94;79,6252887957275;8,314711204272498;8,314711204272498;69,13442241045462;8,314711204272498;101,06;39,52;491,98;2,14;1120,0;12449,0
77;79;76;93,74;85,74591276125076;7,9940872387492306;7,9940872387492306;63,9054307807333;7,9940872387492306;100,43;39,87;484,66;1,9;1120,0;12537,0
28;29;27;93,91;85,96387076123995;7,946129238760051;7,946129238760051;63,14096987907738;7,946129238760051;14,98;6,06;467,12;2,11;168,0;11960,53
68;70;67;102,82;94,90163909051341;7,91836090948658;7,91836090948658;62,70043949288514;7,91836090948658;50,0;20,0;514,67;1,92;560,0;13972,0
72;74;71;91,03;83,1879045079352;7,8420954920648;7,8420954920648;61,49846170666306;7,8420954920648;100,62;39,96;487,78;2,35;1120,0;11538,83
3;2;2;77,41;85,23862653813559;-7,828626538135595;7,828626538135595;61,28739347360091;7,828626538135595;15,54;6,02;455,58;1,67;168,0;13364,81
49;51;48;94,37;86,59346836141593;7,776531638584075;7,776531638584075;60,474444325899114;7,776531638584075;50,0;20,0;460,17;1,64;560,0;12529,0
5;5;4;79,18;86,92745313091044;-7,747453130910429;7,747453130910429;60,023030015653816;7,747453130910429;15,58;6,03;457,39;1,27;168,0;13194,19
92;96;91;97,36;89,83505057721784;7,524949422782157;7,524949422782157;56,62486381542952;7,524949422782157;101,08;39,44;530,42;1,3;1120,0;14553,0
62;64;61;102,82;95,3921918499547;7,427808150045294;7,427808150045294;55,17233391387929;7,427808150045294;50,0;20,0;512,0;1,68;560,0;13882,0
73;75;72;83,99;91,31396087021247;-7,323960870212474;7,323960870212474;53,64040282840346;7,323960870212474;99,85;39,6;501,0;1,93;1120,0;14261,0
44;46;43;67,91;74,86170023052287;-6,951700230522874;6,951700230522874;48,32613609505179;6,951700230522874;50,0;20,0;421,83;3,16;560,0;11491,0
55;57;54;93,07;86,1413115256803;6,928688474319699;6,928688474319699;48,00672397417064;6,928688474319699;50,0;20,0;464,39;1,97;560,0;12686,0
57;59;56;87,28;93,79465477625293;-6,514654776252925;6,514654776252925;42,44072685375505;6,514654776252925;50,0;20,0;487,17;1,11;560,0;13251,0
35;37;34;108,69;102,22078007477342;6,469219925226582;6,469219925226582;41,850806440948624;6,469219925226582;14,92;5,9;565,84;1,67;168,0;13602,1
81;83;80;89,52;95,98725337288187;-6,467253372881871;6,467253372881871;41,825366189051934;6,467253372881871;100,65;39,87;528,88;1,26;1120,0;14224,0
94;98;93;72,99;79,35243153449483;-6,3624315344948315;6,3624315344948315;40,48053503113425;6,3624315344948315;101,04;39,94;478,07;2,51;1120,0;11002,0
39;41;38;110,89;117,2079168344052;-6,317916834405196;6,317916834405196;39,916073126460574;6,317916834405196;14,83;5,41;626,08;1,64;168,0;21553,35
75;77;74;83,26;77,14620593598451;6,113794064015494;6,113794064015494;37,378477857191086;6,113794064015494;100,18;40,0;434,43;2,41;1120,0;11224,0
7;7;6;97,37;91,6462130326466;5,723786967353405;5,723786967353405;32,76173724764469;5,723786967353405;14,99;6,05;478,25;1,88;168,0;15358,52
12;12;11;102,22;96,54081959222621;5,679180407773785;5,679180407773785;32,25309010404162;5,679180407773785;15,07;6,04;506,04;1,79;168,0;16273,65
18;18;17;100,19;94,59217416773336;5,597825832266636;5,597825832266636;31,33565404839166;5,597825832266636;15,02;5,93;490,06;1,46;168,0;16019,43
69;71;68;102,77;97,21251627237436;5,5574837276256375;5,5574837276256375;30,88562538282375;5,5574837276256375;50,0;20,0;515,31;1,38;560,0;14040,0
79;81;78;88,59;83,27334849678267;5,316651503217329;5,316651503217329;28,26678320666309;5,316651503217329;100,99;39,69;491,04;2,11;1120,0;14031,0
41;43;40;81,24;86,23053143853406;-4,990531438534063;4,990531438534063;24,905404038996867;4,990531438534063;14,92;5,91;506,0;3,52;168,0;12069,34
37;39;36;81,36;76,38466291565196;4,975337084348041;4,975337084348041;24,753979102888866;4,975337084348041;14,9;6,1;455,26;3,37;168,0;8676,87
26;26;25;97,58;92,6053187745717;4,974681225428299;4,974681225428299;24,747453294628798;4,974681225428299;14,74;5,8;492,58;1,89;168,0;14953,07
84;86;83;85,74;80,92603099894988;4,813969001050111;4,813969001050111;23,174297543071408;4,813969001050111;100,99;40,02;470,95;2,29;1120,0;12661,0
34;36;33;112,16;107,68872950492887;4,471270495071124;4,471270495071124;19,992259840093578;4,471270495071124;14,93;5,78;564,22;1,61;168,0;19790,13
66;68;65;90,47;94,81237226415637;-4,342372264156367;4,342372264156367;18,856196880514496;4,342372264156367;50,0;20,0;508,33;1,73;560,0;13791,0
50;52;49;77,28;81,55386067673201;-4,2738606767320135;4,2738606767320135;18,265885084116224;4,2738606767320135;50,0;20,0;431,0;1,75;560,0;11763,0
46;48;45;78,25;82,4684136592685;-4,218413659268506;4,218413659268506;17,79501380070311;4,218413659268506;50,0;20,0;441,93;1,97;560,0;12009,0
83;85;82;85,53;89,69649798045478;-4,166497980454778;4,166497980454778;17,359705421133746;4,166497980454778;100,77;40,05;499,48;1,5;1120,0;12387,0
91;95;90;97,14;92,99197739232257;4,148022607677433;4,148022607677433;17,20609155380309;4,148022607677433;101,37;39,87;540,21;1,3;1120,0;13764,0
45;47;44;74,72;78,72415047706521;-4,00415047706521;4,00415047706521;16,033221042981545;4,00415047706521;50,0;20,0;439,6;2,88;560,0;12054,0
8;8;7;88,32;84,41578708430941;3,9042129156905787;3,9042129156905787;15,24287849104513;3,9042129156905787;14,86;5,96;452,31;1,87;168,0;11792,66
