fold;original_index;true_value;predicted_value;error;absolute_error;squared_error;Width;Height;Density;Growth-ring width;Test span;Dynamic E
29;28;107,61;87,38368292162168;20,226317078378315;20,226317078378315;409,10390255509833;14,95;5,95;480,13;2,11;168,0;12528,13
95;94;86,11;105,06040365831808;-18,95040365831808;18,95040365831808;359,1177988131953;100,89;39,8;593,69;1,18;1120,0;16572,0
36;35;68,3;86,84301215043862;-18,543012150438628;18,543012150438628;343,8432996113146;14,82;6,07;525,91;4,3;168,0;11551,54
91;90;72,07;89,51153747104723;-17,44153747104724;17,44153747104724;304,20722935394497;100,99;40,25;493,05;1,46;1120,0;13431,0
4;3;65,89;81,60634095246246;-15,71634095246246;15,71634095246246;247,00337293404863;15,67;5,99;457,1;2,03;168,0;11341,85
39;38;65,72;81,17886327071774;-15,458863270717742;15,458863270717742;238,97645362274605;14,91;5,76;492,29;3,68;168,0;11455,97
17;16;104,9;90,80742164145087;14,092578358549133;14,092578358549133;198,60076479184738;14,86;5,95;497,74;2,13;168,0;13214,49
15;14;81,42;94,83452610327403;-13,414526103274028;13,414526103274028;179,94951057542028;14,88;6,22;482,96;1,3;168,0;12567,69
93;92;76,66;89,1804733300522;-12,520473330052198;12,520473330052198;156,76225240854836;100,88;40,15;490,25;1,21;1120,0;12677,0
70;69;106,55;95,24311718298368;11,306882817016316;11,306882817016316;127,84559903773882;50,0;20,0;517,83;1,73;560,0;14062,0
24;23;91,05;80,31186740409139;10,73813259590861;10,73813259590861;115,30749164731498;14,86;5,98;454,05;2,53;168,0;10327,85
25;24;82,37;92,70653223139773;-10,336532231397726;10,336532231397726;106,84389857072405;14,95;5,95;487,04;1,3;168,0;11823,84
75;74;91,03;81,06299455065346;9,967005449346544;9,967005449346544;99,34119762730371;100,62;39,96;487,78;2,35;1120,0;11538,83
5;4;68,63;78,54716858728091;-9,917168587280912;9,917168587280912;98,35023278855128;15,6;6,04;438,11;2,08;168,0;10663,93
1;0;87,69;97,38331610099995;-9,693316100999951;9,693316100999951;93,96037703390489;14,99;6,13;534,67;2,33;168,0;15090,11
64;63;106,39;96,72314966061526;9,666850339384737;9,666850339384737;93,44799548406282;50,0;20,0;514,17;1,34;560,0;14017,0
89;88;87,94;78,57549835945085;9,36450164054915;9,36450164054915;87,69389097584772;101,06;39,52;491,98;2,14;1120,0;12449,0
62;61;100,0;90,85572540307973;9,144274596920269;9,144274596920269;83,61775790388135;50,0;20,0;491,01;1,84;560,0;13408,0
41;40;102,64;111,7314887509265;-9,091488750926501;9,091488750926501;82,65516770822312;14,9;5,61;597,62;1,51;168,0;19227,87
71;70;102,82;93,85534011121038;8,964659888789612;8,964659888789612;80,36512692167338;50,0;20,0;514,67;1,92;560,0;13972,0
80;79;93,74;84,83906966381386;8,900930336186136;8,900930336186136;79,22656084963863;100,43;39,87;484,66;1,9;1120,0;12537,0
16;15;87,83;96,67980261627469;-8,849802616274687;8,849802616274687;78,3190063470223;14,95;6,18;495,3;1,02;168,0;12150,6
6;5;79,18;87,82340469494154;-8,643404694941538;8,643404694941538;74,70844472053741;15,58;6,03;457,39;1,27;168,0;13194,19
56;55;98,87;90,28749123296662;8,582508767033389;8,582508767033389;73,65945673620497;50,0;20,0;483,69;1,73;560,0;13182,0
79;78;64,96;73,45851700105263;-8,498517001052633;8,498517001052633;72,22479121718064;100,04;40,19;408,75;2,61;1120,0;9165,0
3;2;77,41;85,80227330515635;-8,392273305156351;8,392273305156351;70,4302512284399;15,54;6,02;455,58;1,67;168,0;13364,81
38;37;108,69;100,53688485041214;8,153115149587862;8,153115149587862;66,4732866424391;14,92;5,9;565,84;1,67;168,0;13602,1
65;64;102,82;94,68081078208456;8,13918921791543;8,13918921791543;66,24640112503079;50,0;20,0;512,0;1,68;560,0;13882,0
12;11;108,88;100,75389088886402;8,126109111135975;8,126109111135975;66,0336492860871;15,03;5,86;528,5;1,44;168,0;16838,68
97;96;97,36;89,31029798738334;8,049702012616663;8,049702012616663;64,79770249192475;101,08;39,44;530,42;1,3;1120,0;14553,0
30;29;93,91;85,87231544315115;8,037684556848845;8,037684556848845;64,60437303540641;14,98;6,06;467,12;2,11;168,0;11960,53
76;75;83,99;91,39886135936977;-7,40886135936978;7,40886135936978;54,891226642362625;99,85;39,6;501,0;1,93;1120,0;14261,0
52;51;94,37;87,16888621990327;7,201113780096733;7,201113780096733;51,85603967389906;50,0;20,0;460,17;1,64;560,0;12529,0
60;59;87,28;94,33499002370017;-7,054990023700171;7,054990023700171;49,772884234508936;50,0;20,0;487,17;1,11;560,0;13251,0
40;39;81,36;74,49626488914606;6,863735110853938;6,863735110853938;47,110859671969116;14,9;6,1;455,26;3,37;168,0;8676,87
58;57;93,07;86,2190471546797;6,850952845320293;6,850952845320293;46,93555488880222;50,0;20,0;464,39;1,97;560,0;12686,0
87;86;85,74;78,99874962139894;6,741250378601052;6,741250378601052;45,44445666698883;100,99;40,02;470,95;2,29;1120,0;12661,0
94;93;96,53;103,26013689985136;-6,7301368998513595;6,7301368998513595;45,29474269074087;101,26;39,36;605,26;1,15;1120,0;17923,0
96;95;97,14;90,49749901030448;6,64250098969552;6,64250098969552;44,12281939810597;101,37;39,87;540,21;1,3;1120,0;13764,0
78;77;83,26;76,67265144859074;6,587348551409264;6,587348551409264;43,39316093775372;100,18;40,0;434,43;2,41;1120,0;11224,0
47;46;67,91;74,45260505309093;-6,542605053090938;6,542605053090938;42,805680880731074;50,0;20,0;421,83;3,16;560,0;11491,0
82;81;88,59;82,14974169671137;6,44025830328863;6,44025830328863;41,47692701307814;100,99;39,69;491,04;2,11;1120,0;14031,0
74;73;92,42;86,37849288522439;6,041507114775612;6,041507114775612;36,49980821788434;101,23;40,15;499,38;1,88;1120,0;15059,81
72;71;102,77;96,78499705033546;5,985002949664533;5,985002949664533;35,820260307493164;50,0;20,0;515,31;1,38;560,0;14040,0
