fold;model;bias;Width;Height;Density;Growth-ring width;Test span;Dynamic E;dataset
1;normal;90,76795918367348;-193,82340132550365;81,10980772973087;5,68647728375267;-3,158926925593931;110,24038786157594;3,0751680700997066;original
2;normal;90,829693877551;-189,73686094742362;70,68722744931019;5,498456842789734;-3,337006601572267;116,59428312066973;3,0099412872344655;original
3;normal;90,87285714285711;-179,69480665419198;69,5388085629823;5,330963940526553;-3,3678592873160462;107,64861826376365;3,119425299026704;original
4;normal;90,99040816326527;-163,09996584542728;62,58430133151475;5,46831256702935;-3,3995910468231068;97,89989005058395;2,782680875710905;original
5;normal;90,96244897959181;-175,1912785061953;66,92117796674654;5,408776319969236;-3,373426388021862;105,7253757033909;2,885459856671602;original
6;normal;90,85479591836732;-178,89030478567219;68,40702713075306;5,354686790558909;-3,443215806617056;107,95321625536393;3,0406228385145337;original
7;normal;90,88673469387754;-190,02164873990546;70,58343319636099;5,474234225611078;-3,329033315974899;116,98439738168327;2,990078193500741;original
8;normal;90,6691836734694;-193,9015422906568;69,47260613793637;5,6765794415636;-3,352338504509343;122,04765225950432;2,856199503235309;original
9;normal;90,76153061224491;-193,0807471099932;72,98452549303671;5,546948256973491;-3,2952004574628546;117,72283163490239;3,045032248093386;original
10;normal;90,69714285714284;-192,99120370117836;72,16653775554637;5,530459425715294;-3,3172263491800846;118,40588943812386;3,0456874011013078;original
11;normal;90,60897959183676;-193,60844199074307;70,08114973649016;5,473449901050481;-3,319059969614842;121,08311482404805;3,0524401519672906;original
12;normal;90,55173469387756;-194,72595112018058;73,07412414174378;5,589620057440709;-3,295206615031442;119,2996815171872;2,894387667583525;original
13;normal;90,61969387755101;-194,59256133428966;68,71095789754894;5,637508702090595;-3,3605031997139516;123,50096238237992;2,852002334599602;original
14;normal;90,65336734693878;-193,14291643670393;71,57202686302887;5,551214912390334;-3,307428284802702;119,16986612175698;3,0194201972040084;original
15;normal;90,83193877551018;-197,79745458541265;79,38335865423203;5,648514106667012;-3,527021249704676;115,84507228944071;2,800319114949161;original
16;normal;90,76653061224488;-195,1045299201311;74,15659625860488;5,723837952795911;-3,5151547999169166;118,4048040019703;2,7134133195453813;original
17;normal;90,59234693877552;-191,12113763049118;73,24751195526763;5,431628015665888;-3,341790567124131;115,61104698787301;3,1607389502424;original
18;normal;90,73336734693878;-193,47957968807907;70,67319760739626;5,592077818164734;-3,3373724351715666;120,40909045392318;2,956425626570933;original
19;normal;90,64040816326533;-194,203853524355;72,0424036764074;5,658163444445135;-3,3000916432858545;119,7774250689417;2,902146323552904;original
20;normal;90,6507142857143;-193,5736070172598;71,75849259931593;5,498805733369446;-3,3368905930130706;119,37023265180092;3,06034921172372;original
21;normal;90,68489795918367;-193,33810247457018;73,78174974006753;5,597325372895298;-3,3376285994870023;117,11860132633352;2,981407790951395;original
22;normal;90,74204081632656;-193,37149957857983;71,08481200040548;5,516565657388243;-3,3187506497538175;119,91212000554398;3,061846171995323;original
23;normal;90,72132653061225;-193,17877949006834;71,42648685737399;5,527973016703881;-3,2923035458065555;119,3652846119441;3,0428080056358895;original
24;normal;90,73367346938777;-192,95868321719684;75,53257626665459;5,455246759345979;-3,3168049395413846;115,14108730329995;3,2232631920491968;original
25;normal;90,82224489795921;-193,23206464970613;65,26135714506562;5,703772829750658;-3,5466300195041107;125,39373327510312;2,6402926088806873;original
26;normal;90,56336734693878;-193,7444285296314;71,81289642184034;5,530047485048422;-3,2907410837231947;119,50555798402716;2,933256779029911;original
27;normal;90,66704081632655;-191,85081263342244;73,92812503596846;5,600593795707846;-3,3219244862596424;115,54813537297137;2,978731904365619;original
28;normal;90,61081632653062;-193,65577981053056;74,21973714178878;5,526374540045014;-3,3106212944032167;117,01326660273142;3,044229490927642;original
29;normal;90,56469387755104;-195,35593320378604;77,32841856843471;5,4901248235908495;-3,299103447404403;115,82779006007715;3,2292491333708897;original
30;normal;90,70448979591836;-194,27881756811004;71,27113772998247;5,535540597650063;-3,308787742700578;120,6824944598566;3,087939817082742;original
31;normal;90,62724489795919;-193,33516500290753;72,31339157716867;5,518559215816706;-3,313443724229978;118,59649016651363;3,0374936647191895;original
32;normal;90,81387755102044;-194,204696342701;72,95900558145074;5,5501343946915584;-3,3184152924702093;118,8226347387876;2,9926718032624726;original
33;normal;90,80295918367345;-193,98534127280206;77,28494325871925;5,390125632919933;-3,3032000634277794;114,3408210569606;3,199094872762348;original
34;normal;90,5395918367347;-190,58668986851444;70,18919788317298;5,365575424948497;-3,299989067152876;118,04221242748194;3,0872000280124845;original
35;normal;90,47193877551018;-193,11286782813318;69,8782068484412;5,286068165980078;-3,2716546414066876;120,79261770736463;2,8952783661769153;original
36;normal;90,96581632653061;-197,31639065886552;88,39756465735465;6,324678958606297;-2,2436163080227796;106,42478111257455;2,772923865189408;original
37;normal;90,51826530612242;-192,9718705400718;71,31448770648973;5,542692391143488;-3,3695340073697904;119,25914170186908;2,7749538838708716;original
38;normal;90,55367346938773;-191,5772930479977;73,75276839452475;5,079327120026759;-3,2439808771758267;115,5453287248259;3,4315557826995846;original
39;normal;90,99214285714287;-189,34248571597183;61,3889423011384;5,831703166812671;-2,7506943788453615;125,42467044279704;2,8074308682996767;original
40;normal;90,83255102040816;-193,57398474838956;70,562363873392;5,366792616654222;-3,3382384017285505;120,6807666970105;3,1695529786623475;original
41;normal;90,6154081632653;-194,30338678524444;65,84979178713311;5,554876749920993;-3,288400512804612;125,94712078512293;3,0094697496491616;original
42;normal;90,53122448979593;-194,30157020417886;66,07087375128205;5,387807420830409;-3,254345493174201;125,76357037387245;3,00317978352888;original
43;normal;90,94571428571426;-193,25033049517924;71,53633142571859;5,469184397124011;-3,2621661245340845;119,30957960243813;2,9138398406541595;original
44;normal;90,83377551020408;-192,99655708589796;71,64126997198855;5,598737660693291;-3,142870049284084;118,92827185960437;2,9974294426310517;original
45;normal;90,6409183673469;-194,04761698363862;65,16753514514295;5,44436849937605;-3,446855278290545;126,4979676758613;2,9312035605007694;original
46;normal;90,58530612244901;-195,4156898987021;74,10549157341813;5,490420266604264;-3,296958722376435;118,89942540841774;3,051040664212742;original
47;normal;90,96979591836735;-195,36781896577654;73,57568002596959;5,283069753813492;-3,0916010305703736;119,42043379654126;3,2135566318377142;original
48;normal;90,90030612244898;-194,66236128937308;72,98309583629288;5,424897657628912;-3,206656176531394;119,28032449390673;3,10833490771224;original
49;normal;90,86428571428571;-195,51029103094808;71,993783885145;5,414322668751212;-3,3287716564307357;121,10435896488917;3,062906187302683;original
50;normal;90,85877551020408;-195,08141272637658;72,04713085438061;5,423943483501555;-3,323476038549034;120,62171020082549;3,0621865277830445;original
51;normal;90,89479591836735;-194,3880389278008;72,69152418546312;5,435290712569653;-3,2302350970029443;119,2923128977794;3,087106849598716;original
52;normal;90,69979591836736;-189,17652446434133;72,19327342266894;5,615298175327206;-3,260286351167051;114,56149365527924;3,0179746664523583;original
53;normal;90,87418367346939;-195,7378201750574;71,30782593333487;5,359814005357598;-3,3626532036534975;122,01487194687026;3,0608632655067343;original
54;normal;90,82571428571428;-195,3631465422995;71,88859954602246;5,458716976971725;-3,353106312485949;121,05501743799124;3,0347791224478;original
55;normal;90,64061224489797;-192,49102336859357;72,00759447238927;5,534433994540909;-3,276036741684822;118,06502097965489;3,040413031681474;original
56;normal;90,65387755102041;-187,93116687908804;70,66759938487819;5,565682206985303;-3,2867779968243447;114,84043172758517;3,0359749174536526;original
57;normal;90,68948979591838;-193,06422113008665;72,00901047053516;5,544319596661844;-3,318585918217524;118,63432889141144;3,028816849253377;original
58;normal;90,7130612244898;-189,53174599137853;71,22256611677709;5,608241197062346;-3,3212241268315132;115,87693569150643;2,9844828289903473;original
59;normal;90,5441836734694;-191,25066405801326;71,22125676355773;5,409987218770178;-3,255021715591602;117,61710300280234;3,071691418363951;original
60;normal;90,77214285714287;-197,82066573365472;72,02596919132235;5,546939162859027;-3,427257854076714;123,35522691456728;2,948862289755266;original
61;normal;90,77346938775511;-192,8406863466975;72,15464471823874;5,532506223032322;-3,3125462413435804;118,26517017282131;3,0237629504934813;original
62;normal;90,64234693877552;-187,51077428773212;69,79130074269548;5,544527041867616;-3,31578463132535;115,29195065484353;3,0279685585288996;original
63;normal;90,81979591836736;-193,67662941820703;72,03953943747331;5,484960765013348;-3,3257394878780366;119,21738368377343;3,028878567563176;original
64;normal;90,57714285714286;-186,05970443067676;69,84956953076899;5,441233505813784;-3,210269351845192;113,80748333314536;3,1390341599700577;original
65;normal;90,61357142857145;-187,50991729160748;69,4885925448408;5,462650482135284;-3,2965345844189744;115,60422557249926;3,085538439023206;original
66;normal;90,59428571428572;-189,80014704641064;71,13255496958483;5,463868831487948;-3,230467740845021;116,26060504824719;3,1017940516280404;original
67;normal;90,62520408163266;-191,56559593922887;71,50254181620362;5,503190376489239;-3,282952438143122;117,64702555156671;3,0563479970043326;original
68;normal;90,87418367346939;-194,17860528772567;72,26176441969498;5,446433745382851;-3,2856159632178312;119,5049374054657;3,0572520548192594;original
69;normal;90,7395918367347;-195,57030532657467;73,14550642524425;5,577594156533253;-3,3267690928562996;120,00324770549757;3,0083427875409616;original
70;normal;90,57551020408164;-185,2110986911288;67,86775903146314;5,4034004541716305;-3,3083468028558882;114,92548536566062;3,105221637794071;original
71;normal;90,61357142857143;-187,10473909425167;68,35565940963946;5,446964340933743;-3,3486784305116943;116,32254923383054;3,0594787374084875;original
72;normal;90,61408163265307;-188,73257212447862;70,5722874016;5,476988968374853;-3,2559792491656667;115,74978706163692;3,095008261467953;original
73;normal;90,86642857142857;-194,60540157287534;72,6960241951618;5,463251975420947;-3,2602475567934985;119,50215618898743;3,0754574304520435;original
74;normal;90,71969387755101;-198,47782447665537;64,71243191878968;5,646139334165023;-3,4108379872442254;131,27793212351344;2,8257608240627037;original
75;normal;90,73387755102043;-191,48927688473012;68,75252001303359;5,44365351766515;-3,4052996213646245;120,17907292807298;3,1103746483710464;original
76;normal;90,80571428571429;-203,5889858711552;66,37970641399014;5,5005517008152625;-3,296939149707329;134,88279809765743;3,084000567509397;original
77;normal;90,73204081632656;-192,7881061824005;69,91436200727627;5,560125117308463;-3,331752589002294;120,44012622361609;2,99936452362679;original
78;normal;90,81316326530614;-185,37133152686087;68,58412293884635;5,6321411820358485;-3,37613566872083;114,22102113349361;2,9008839961452813;original
79;normal;90,99989795918367;-204,1526964753262;77,77903618368683;5,308288810150984;-3,2154661445586377;124,04497956935307;3,0468558977446776;original
80;normal;90,70622448979594;-187,79634747263995;71,95132451272663;5,55504952472844;-3,329658286184077;113,29759753589435;3,0459835768568895;original
81;normal;90,7545918367347;-194,50594484958944;71,57233345424936;5,536575733886583;-3,3314682578253283;120,53495794946141;3,0243300695356163;original
82;normal;90,75877551020412;-198,357607464944;75,25099053008483;5,643770468786928;-3,382817637021601;120,64108566558589;2,9300761727403115;original
83;normal;90,84030612244901;-189,52044622776586;62,653366851255214;5,5183133122396;-3,343302517330868;124,59004787899384;2,9936650310231565;original
84;normal;90,74928571428573;-194,2132824811709;70,61614656079662;5,602585059415589;-3,3536940968018882;121,26731039075551;2,9623970567220343;original
85;normal;90,57153061224491;-193,76479206259418;70,8609891145393;5,31587333439498;-3,297192067891086;120,55551326995503;3,0078304645759646;original
86;normal;90,79000000000003;-193,03992287486432;71,81094771187615;5,578293451859524;-3,3351805566399206;118,86132739471861;2,9848155831230256;original
87;normal;90,78785714285716;-197,4613167592062;68,11072393008425;5,625298282600574;-3,4076244205016812;126,84701101870014;2,9109008974299244;original
88;normal;90,81734693877549;-193,00431247182746;71,31053628604356;5,552852621680629;-3,3019068924094;119,32473210267644;3,0301918585782417;original
89;normal;90,76540816326529;-203,39846885724452;85,23926909969312;5,552249167606427;-3,340184808749566;115,70175148405964;3,1387379657638217;original
90;normal;90,81397959183671;-192,3537316343167;68,62742515569273;5,5406980675575594;-3,3288174769929153;121,3935458984789;3,016604668369166;original
91;normal;90,92734693877551;-185,81970439422608;92,87237030965939;5,512633945082043;-3,3152154369132742;90,82515120099991;3,182837639815712;original
92;normal;90,76183673469386;-193,85671965953026;70,97133978126159;5,553705997961089;-3,29338533588921;120,50954242427275;3,0318667788906515;original
93;normal;90,88051020408162;-190,46206136387843;79,63277436111038;5,588248670469943;-3,4362031750188304;108,5958558874083;2,935431487643036;original
94;normal;90,67775510204079;-183,20621562781395;59,210485381723494;5,540714050292515;-3,3391538331511192;121,77042561174714;2,8857915060252695;original
95;normal;90,78408163265306;-189,03951499663188;71,8991649405976;6,032916018649529;-3,363519277492082;115,01016303141768;2,701977957280214;original
96;normal;90,6715306122449;-201,17198306621583;72,67086349907414;5,3780307177441085;-3,25771560474277;126,09565516239836;3,1859621391204493;original
97;normal;90,66928571428572;-201,48410086151333;84,7565589735614;5,490947935447355;-3,220715657623432;114,31741995796067;3,1653174418565615;original
98;normal;90,64295918367347;-192,94813464358356;66,87500089488937;5,5095581781729805;-3,3240670603073617;123,62334192187245;2,9880185631854097;original
99;normal;90,91795918367349;-189,25087686646037;70,7686382164243;5,5727097418212965;-3,2613882389567594;116,17527289051272;2,969534625199984;original
1;physics;90,76795918367345;-62,31704663399892;33,38414495232538;5,419041286235428;-3,1970589384801396;26,436035738539935;2,881548541511656;original
2;physics;90,829693877551;-59,219050771004014;30,748676503278247;5,230120881413447;-3,3646582748587845;25,990171722500193;2,853947611322927;original
3;physics;90,87285714285711;-56,666959627566925;29,682622485191672;5,050290601849483;-3,3929027789421777;24,456908868670464;2,99482530196695;original
4;physics;90,99040816326527;-51,198702950586565;26,534492803402625;5,256532643443569;-3,421465627640942;22,02354176397213;2,6131225125414703;original
5;physics;90,96244897959181;-54,93747156093288;28,5877922131707;5,166910407633178;-3,395943253796042;23,77837200612014;2,7147714759909514;original
6;physics;90,85479591836732;-56,23503389704238;29,323220443799137;5,081478724681995;-3,4900176460627512;24,357092826023376;2,9010410728786367;original
7;physics;90,88673469387753;-58,7173214270075;30,37757268842151;5,200216646225257;-3,3613616753296007;25,85627949471044;2,8108869175908864;original
8;physics;90,66918367346938;-60,85350557554184;31,396449710457887;5,432499089022381;-3,3431116439443507;27,06066279337547;2,727432819918389;original
9;physics;90,76153061224488;-61,09062971980762;31,94841755775092;5,29977791475595;-3,2998509447707023;26,746709652097696;2,8942826825501387;original
10;physics;90,69714285714284;-61,00246926220354;31,80155282927683;5,281481831544961;-3,3181116729143847;26,76578880085953;2,903770238487681;original
11;physics;90,60897959183673;-60,90415461412471;31,471202453269825;5,22902445052584;-3,313219809091421;26,976747270776183;2,9216877769919445;original
12;physics;90,55173469387753;-61,49132822843796;32,12712823161709;5,339029452414291;-3,2979044072687635;26,997459911133834;2,7524644487496683;original
13;physics;90,619693877551;-60,93468906162476;31,332382858208916;5,39164386540744;-3,347141083434344;27,2096761456537;2,732258553082009;original
14;physics;90,65336734693877;-60,91893524577316;31,689898303310965;5,309408416185593;-3,3019201604940704;26,81213906250046;2,873918162238887;original
15;physics;90,83193877551018;-63,16789202314161;33,46421172792796;5,383623165749926;-3,5309792892933607;27,11345470893104;2,6380093899238295;original
16;physics;90,76653061224488;-61,86002963218945;32,32530460621365;5,464471082975829;-3,5082984123161074;26,97497779467555;2,576455612885168;original
17;physics;90,59234693877549;-60,53886229648202;31,830097737675295;5,184011274136614;-3,3490231485100113;26,42673861545681;3,0080636136153927;original
18;physics;90,73336734693876;-60,9111607704657;31,56670965922104;5,348978490306792;-3,333082224559809;26,929577728684446;2,8183875466748862;original
