fold;original_index;current_position;true_value;predicted_value;error;absolute_error;squared_error;rmse;final_physics_penalty;constraint_violations;Width;Height;Density;Growth-ring width;Test span;Dynamic E;Density_constraint_violated;Dynamic_E_constraint_violated;Growth_ring_width_constraint_violated;Height_constraint_violated;Test_span_constraint_violated;Width_constraint_violated
29;28;28;107,61;87,71373077470946;19,89626922529054;19,89626922529054;395,8615290852434;19,89626922529054;301,7995748165188;2;14,95;5,95;480,13;2,11;168,0;12528,13;False;False;False;True;True;False
95;94;94;86,11;105,36292014549642;-19,252920145496418;19,252920145496418;370,6749341288618;19,252920145496418;281,7914176306069;2;100,89;39,8;593,69;1,18;1120,0;16572,0;False;False;False;True;True;False
4;3;3;65,89;84,3139561058906;-18,423956105890596;18,423956105890596;339,44215859178337;18,423956105890596;198,18593177327375;2;15,67;5,99;457,1;2,03;168,0;11341,85;False;False;False;True;True;False
36;35;35;68,3;85,62947479427064;-17,329474794270638;17,329474794270638;300,3106966452614;17,329474794270638;321,6142168447155;2;14,82;6,07;525,91;4,3;168,0;11551,54;False;False;False;True;True;False
91;90;90;72,07;89,06453212323461;-16,99453212323462;16,99453212323462;288,8141220876534;16,99453212323462;307,1032242570055;2;100,99;40,25;493,05;1,46;1120,0;13431,0;False;False;False;True;True;False
39;38;38;65,72;81,85285773251502;-16,13285773251502;16,13285773251502;260,2690986175697;16,13285773251502;262,940522604138;2;14,91;5,76;492,29;3,68;168,0;11455,97;False;False;False;True;True;False
17;16;16;104,9;90,64187227503143;14,258127724968574;14,258127724968574;203,29420622151753;14,258127724968574;285,2545820394145;2;14,86;5,95;497,74;2,13;168,0;13214,49;False;False;False;True;True;False
5;4;4;68,63;81,21794426544942;-12,587944265449423;12,587944265449423;158,456340830061;12,587944265449423;230,44545228609454;2;15,6;6,04;438,11;2,08;168,0;10663,93;False;False;False;True;True;False
15;14;14;81,42;93,97035033667905;-12,550350336679045;12,550350336679045;157,51129357337982;12,550350336679045;309,1654560904457;2;14,88;6,22;482,96;1,3;168,0;12567,69;False;False;False;True;True;False
70;69;69;106,55;94,0370094032195;12,512990596780497;12,512990596780497;156,57493367511714;12,512990596780497;259,3230736516227;2;50,0;20,0;517,83;1,73;560,0;14062,0;False;False;False;True;True;False
93;92;92;76,66;89,06695552762716;-12,406955527627161;12,406955527627161;153,93254546451817;12,406955527627161;297,0108033872775;2;100,88;40,15;490,25;1,21;1120,0;12677,0;False;False;False;True;True;False
6;5;5;79,18;90,29400627167401;-11,114006271674;11,114006271674;123,52113540680902;11,114006271674;242,18651641608142;2;15,58;6,03;457,39;1,27;168,0;13194,19;False;False;False;True;True;False
64;63;63;106,39;95,52193059894401;10,86806940105599;10,86806940105599;118,11493250616951;10,86806940105599;264,29173033403987;2;50,0;20,0;514,17;1,34;560,0;14017,0;False;False;False;True;True;False
3;2;2;77,41;88,1302791596889;-10,7202791596889;10,7202791596889;114,92438526166015;10,7202791596889;246,53305637394678;2;15,54;6,02;455,58;1,67;168,0;13364,81;False;False;False;True;True;False
25;24;24;82,37;92,96416529193604;-10,594165291936037;10,594165291936037;112,23633823286217;10,594165291936037;278,0921044228367;2;14,95;5,95;487,04;1,3;168,0;11823,84;False;False;False;True;True;False
24;23;23;91,05;80,47070443751299;10,579295562487005;10,579295562487005;111,92149459845723;10,579295562487005;293,0254691085897;2;14,86;5,98;454,05;2,53;168,0;10327,85;False;False;False;True;True;False
75;74;74;91,03;80,68756692408093;10,342433075919075;10,342433075919075;106,9659219298649;10,342433075919075;282,2029566522413;2;100,62;39,96;487,78;2,35;1120,0;11538,83;False;False;False;True;True;False
62;61;61;100,0;89,80947961833508;10,190520381664925;10,190520381664925;103,84670564912824;10,190520381664925;267,9386078219595;2;50,0;20,0;491,01;1,84;560,0;13408,0;False;False;False;True;True;False
