fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
36;38;35;65,72;83,77718824158976;32,513260351032635;-18,057188241589756;18,057188241589756;326,06204719220733;18,057188241589756;51,26392789055712;2627,9903027682403;63,82379017515987;59,691670992789035;31,735840107545403;6988,957721310908;14,91;5,76;492,29;3,68;168,0;11455,97
16;16;15;104,9;91,01946563939691;35,93239633758012;13,880534360603093;13,880534360603093;192,66923413588313;13,880534360603093;55,08706930181679;3034,585204263166;75,01331899813468;59,91797040724203;32,815312003913476;6775,664600832139;14,86;5,95;497,74;2,13;168,0;13214,49
89;92;88;76,66;90,19632361577109;0,3430800116235363;-13,536323615771096;13,536323615771096;183,23205703088226;13,536323615771096;89,85324360414755;8073,605386186283;33,2094977250078;51,932736536392724;32,85009351927913;4770,6607542784;100,88;40,15;490,25;1,21;1120,0;12677,0
14;14;13;81,42;94,53132232684548;134,46507280513012;-13,111322326845482;13,111322326845482;171,9067731584368;13,111322326845482;-39,93375047828464;1594,7044272618984;307,17979848406446;50,409910628712666;32,98367892351499;4356,557926299419;14,88;6,22;482,96;1,3;168,0;12567,69
1;0;0;87,69;99,41437071275011;133,93410742653973;-11,724370712750115;11,724370712750115;137,46086860999264;11,724370712750115;-34,51973671378961;1191,6122227893545;299,3734132330617;51,828400686440716;33,406228735932636;4605,54298762702;14,99;6,13;534,67;2,33;168,0;15090,11
23;23;22;91,05;80,3041291435376;127,60218496382295;10,745870856462403;10,745870856462403;115,47374046376802;10,745870856462403;-47,298055820285356;2237,1060843788296;269,0783448538856;53,40085349910714;33,631638856426655;4942,303660670121;14,86;5,98;454,05;2,53;168,0;10327,85
67;69;66;106,55;95,88272759126812;2,2515372916911116;10,667272408731876;10,667272408731876;113,79070064209235;10,667272408731876;93,63119029957701;8766,799796915604;53,60803075455028;51,412182782923544;33,68048828550741;4432,923624354034;50,0;20,0;517,83;1,73;560,0;14062,0
4;4;3;68,63;78,51956449182097;51,6167221194547;-9,889564491820977;9,889564491820977;97,8034858378863;9,889564491820977;26,902842372366273;723,7629277123862;116,57041869404897;59,30318452149605;33,93938731704129;6340,949301113691;15,6;6,04;438,11;2,08;168,0;10663,93
61;63;60;106,39;96,78165435324968;12,258266032378586;9,608345646750323;9,608345646750323;92,32030606742588;9,608345646750323;84,52338832087109;7144,203173240768;291,8634769613949;50,16524871574262;33,91710869450663;4062,035005308997;50,0;20,0;514,17;1,34;560,0;14017,0
24;24;23;82,37;91,94004469660894;22,930513034787865;-9,570044696608932;9,570044696608932;91,58575549509274;9,570044696608932;69,00953166182107;4762,315460183885;48,16020810049785;62,65905496609994;33,80792317910933;7212,782946747651;14,95;5,95;487,04;1,3;168,0;11823,84
38;40;37;102,64;112,2071453352398;164,07490279800876;-9,5671453352398;9,5671453352398;91,53026986560067;9,5671453352398;-51,867757462768964;2690,2642642166256;305,31884146985425;51,252244925372935;33,78962659570829;4365,65458241616;14,9;5,61;597,62;1,51;168,0;19227,87
59;61;58;100,0;90,97317881724095;11,26030242721179;9,02682118275905;9,02682118275905;81,4835006655075;9,02682118275905;79,71287639002915;6354,142662372067;268,10243874313784;49,937956115705376;34,00661476372875;3982,8353379941573;50,0;20,0;491,01;1,84;560,0;13408,0
76;78;75;64,96;73,92255430770552;2,2672642204173536;-8,962554307705531;8,962554307705531;80,32737971857097;8,962554307705531;71,65529008728817;5134,480597493418;218,07332642043386;55,43630860894618;33,854697581265675;5395,402756920124;100,04;40,19;408,75;2,61;1120,0;9165,0
53;55;52;98,87;90,12120819922568;2,8861584961844624;8,748791800774327;8,748791800774327;76,5413579732961;8,748791800774327;87,23504970304121;7609,953896692071;68,71805943296339;61,43122681648464;34,040240943273105;6847,746468302883;50,0;20,0;483,69;1,73;560,0;13182,0
90;93;89;96,53;105,12228014839742;3,087276145813178;-8,592280148397421;8,592280148397421;73,82727814854441;8,592280148397421;102,03500400258424;10411,142041807383;288,27985712892144;52,923366654772764;34,091171498400186;4708,048789093145;101,26;39,36;605,26;1,15;1120,0;17923,0
15;15;14;87,83;96,40678179939574;134,23305526293117;-8,576781799395746;8,576781799395746;73,56118603444614;8,576781799395746;-37,82627346353543;1430,8269641381646;304,1424760728904;52,07186109802838;34,02076612498559;4512,773743260696;14,95;6,18;495,3;1,02;168,0;12150,6
86;88;85;87,94;79,38775138948169;0,6966582922868909;8,552248610518305;8,552248610518305;73,14095629611228;8,552248610518305;78,6910930971948;6192,288132831378;65,45211652133291;61,6942146336374;34,05982417800946;6908,597613906986;101,06;39,52;491,98;2,14;1120,0;12449,0
11;11;10;108,88;100,41332636031173;16,643567551586884;8,466673639688267;8,466673639688267;71,68456252099216;8,466673639688267;83,76975880872484;7017,372490871934;34,08788804756321;53,29803961584568;34,028247774080235;4817,447960441363;15,03;5,86;528,5;1,44;168,0;16838,68
77;79;76;93,74;85,40888863088145;1,593192492219709;8,331111369118545;8,331111369118545;69,40741664465628;8,331111369118545;83,81569613866174;7025,070919208476;151,39617518696937;57,859318190007144;34,13891973014274;5930,099614966101;100,43;39,87;484,66;1,9;1120,0;12537,0
72;74;71;91,03;82,73416521700393;0,34607765100345983;8,295834782996067;8,295834782996067;68,8208747467674;8,295834782996067;82,38808756600048;6787,796972782963;33,09783180934613;53,07605734981461;34,130556972478345;4736,3750943340665;100,62;39,96;487,78;2,35;1120,0;11538,83
68;70;67;102,82;94,63667937877837;4,3692148465196565;8,183320621221625;8,183320621221625;66,96673638971109;8,183320621221625;90,26746453225871;8148,215153082585;104,02892491713467;50,535004762242835;34,15182623754035;4095,794631175622;50,0;20,0;514,67;1,92;560,0;13972,0
49;51;48;94,37;86,34504796231725;12,44142433784351;8,024952037682752;8,024952037682752;64,39985520710856;8,024952037682752;73,90362362447374;5461,745584827873;296,224388996274;52,652386416267895;34,170179727796274;4620,551672117905;50,0;20,0;460,17;1,64;560,0;12529,0
28;29;27;93,91;85,96372414114921;14,231685122013934;7,9462758588507825;7,9462758588507825;63,14330002495474;7,9462758588507825;71,73203901913529;5145,485421842747;31,067967864948123;53,58485834163581;34,090752610915224;4873,526432680146;14,98;6,06;467,12;2,11;168,0;11960,53
92;96;91;97,36;89,42825853828182;0,399614842784826;7,931741461718175;7,931741461718175;62,912522615539174;7,931741461718175;89,028643695497;7926,0993982597565;37,39998041660513;52,79756515099842;34,19745693512184;4650,027053969145;101,08;39,44;530,42;1,3;1120,0;14553,0
5;5;4;79,18;86,89763240767043;29,597383126024134;-7,717632407670422;7,717632407670422;59,56184997992475;7,717632407670422;57,300249281646295;3283,318567738807;66,53571851074545;51,92444815243053;34,28963982757065;4408,702081214968;15,58;6,03;457,39;1,27;168,0;13194,19
62;64;61;102,82;95,11428042357834;4,233041638598696;7,705719576421657;7,705719576421657;59,37811419044797;7,705719576421657;90,88123878497964;8259,399563092487;100,78670568092133;59,967309429760604;34,23416940683848;6433,28500573053;50,0;20,0;512,0;1,68;560,0;13882,0
3;2;2;77,41;85,10153414200157;137,7343992836327;-7,691534142001572;7,691534142001572;59,15969745757586;7,691534142001572;-52,63286514163114;2770,2184930171306;307,8122329675779;51,871533659467374;34,26789002627567;4400,910908297926;15,54;6,02;455,58;1,67;168,0;13364,81
55;57;54;93,07;85,91590290359674;1,4563684312135945;7,154097096403248;7,154097096403248;51,181105264765385;7,154097096403248;84,45953447238315;7133,412963291678;34,67543883841891;53,17706865040371;34,299220293130595;4719,462089318279;50,0;20,0;464,39;1,97;560,0;12686,0
73;75;72;83,99;90,94267535249585;1,5748416264839893;-6,952675352495859;6,952675352495859;48,33969455720342;6,952675352495859;89,36783372601187;7986,609704880104;146,77971663807455;58,04677126681075;34,09299262768546;5988,444659781322;99,85;39,6;501,0;1,93;1120,0;14261,0
