fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
29;28;28;107,61;87,30031743606652;134,63412357940925;20,309682563933478;20,309682563933478;412,48320584774353;20,309682563933478;-47,33380614334273;2240,4892040155496;282,7676554456331;62,28750001117268;43,69166391996271;4648,959022802494;14,95;5,95;480,13;2,11;168,0;12528,13
95;94;94;86,11;104,67370509784962;2,0258219313732697;-18,56370509784962;18,56370509784962;344,61114695992796;18,56370509784962;102,64788316647635;10536,587918558578;192,7108881324315;66,28225701423501;44,43416136940274;5462,02391120807;100,89;39,8;593,69;1,18;1120,0;16572,0
36;35;35;68,3;86,68949770132119;84,36410254774295;-18,38949770132119;18,38949770132119;338,1736257068973;18,38949770132119;2,325395153578242;5,407462620285176;182,8027546962975;67,56161073834633;45,17357464483991;5597,009023376606;14,82;6,07;525,91;4,3;168,0;11551,54
91;90;90;72,07;89,15332136082938;1,6391808898599416;-17,083321360829387;17,083321360829387;291,83986871736965;17,083321360829387;87,51414047096944;7658,724782372571;159,63486236508757;68,23427490329117;45,12169462837482;5778,145068729085;100,99;40,25;493,05;1,46;1120,0;13431,0
4;3;3;65,89;81,59747614699067;46,97414951894968;-15,707476146990672;15,707476146990672;246,72480690828093;15,707476146990672;34,62332662804099;1198,7747467920124;104,80476446177288;62,1258404057115;45,760181923505456;4091,414620551512;15,67;5,99;457,1;2,03;168,0;11341,85
39;38;38;65,72;81,08334900011337;19,80150699826223;-15,363349000113374;15,363349000113374;236,0324924992846;15,363349000113374;61,281842001851146;3755,464159139847;38,87051664964474;74,7205983747312;45,57099797973852;7287,400098748167;14,91;5,76;492,29;3,68;168,0;11455,97
17;16;16;104,9;90,68103836067162;116,86710507287248;14,218961639328384;14,218961639328384;202,17887010069214;14,218961639328384;-26,186066712200855;685,7100898558336;243,97452791233167;61,56847487250744;45,81129266057597;3939,295552982866;14,86;5,95;497,74;2,13;168,0;13214,49
15;14;14;81,42;94,57929844304957;73,8249215226914;-13,159298443049565;13,159298443049565;173,1671355132467;13,159298443049565;20,75437692035817;430,7441613522958;168,64992554093962;68,82569622546364;46,00839906040077;5704,324291265717;14,88;6,22;482,96;1,3;168,0;12567,69
93;92;92;76,66;88,68199083483452;0,3243033545839694;-12,021990834834526;12,021990834834526;144,52826363284532;12,021990834834526;88,35768748025055;7807,080936857625;31,391952755576625;65,21045477964624;46,32108052761827;4722,3435630069935;100,88;40,15;490,25;1,21;1120,0;12677,0
70;69;69;106,55;95,01380227594979;1,049100332810901;11,536197724050211;11,536197724050211;133,08385792838126;11,536197724050211;93,96470194313889;8829,36521126293;24,978579352640498;65,8913820422197;46,55679851681515;4833,645881351138;50,0;20,0;517,83;1,73;560,0;14062,0
24;23;23;91,05;80,30020908648868;14,791501568634924;10,749790913511319;10,749790913511319;115,55800468421052;10,749790913511319;65,50870751785375;4291,390760659709;31,191258685110647;65,79557627059546;46,65736002191358;4784,554062170469;14,86;5,98;454,05;2,53;168,0;10327,85
75;74;74;91,03;80,67995918173801;2,4267899048748305;10,350040818261988;10,350040818261988;107,12334493968928;10,350040818261988;78,25316927686319;6123,5585018734055;232,09093067776064;62,14023501556804;46,765504687070376;3843,682582124415;100,62;39,96;487,78;2,35;1120,0;11538,83
25;24;24;82,37;92,64907541164719;46,31213348971456;-10,279075411647185;10,279075411647185;105,65939131832974;10,279075411647185;46,33694192193263;2147,1121866765575;97,26786239186832;63,19976201679654;46,666130378426615;4133,407909592482;14,95;5,95;487,04;1,3;168,0;11823,84
64;63;63;106,39;96,45601461703896;1,7064273396117187;9,93398538296104;9,93398538296104;98,68406558888361;9,93398538296104;94,74958727742724;8977,484289242802;40,629222371707584;64,97878892016297;46,91649521345686;4515,573426676527;50,0;20,0;514,17;1,34;560,0;14017,0
5;4;4;68,63;78,44564699178734;133,91651855370813;-9,815646991787347;9,815646991787347;96,34692586738399;9,815646991787347;-55,47087156192079;3077,0175918391124;302,43502486903077;63,83689463169213;47,048074877908;4197,204938446034;15,6;6,04;438,11;2,08;168,0;10663,93
89;88;88;87,94;78,29720047677789;3,105352552789079;9,64279952322211;9,64279952322211;92,98358264505254;9,64279952322211;75,1918479239888;5653,81399422426;291,7526416828585;65,07480491208857;46,896623685933605;4544,545306538741;101,06;39,52;491,98;2,14;1120,0;12449,0
1;0;0;87,69;97,29301645370069;61,800357737767186;-9,60301645370069;9,60301645370069;92,21792501004617;9,60301645370069;35,4926587159335;1259,7288227257304;138,13795746634045;62,889334600557085;46,924464406752385;3991,2175484511754;14,99;6,13;534,67;2,33;168,0;15090,11
