Width,Height,Density,Growth-ring width,Test span,Bending strength,source_file,source_row
15.52,6.0,451.31,1.69,168.0,81.64,Size_A,2
15.54,6.02,455.58,1.67,168.0,77.41,Size_A,3
15.67,5.99,457.1,2.03,168.0,65.89,Size_A,4
15.62,5.97,429.36,1.94,168.0,76.05,Size_A,6
14.99,6.05,478.25,1.88,168.0,97.37,Size_A,7
14.86,5.96,452.31,1.87,168.0,88.32,Size_A,8
15.06,6.05,496.9,1.7,168.0,94.63,Size_A,9
14.9,5.78,524.88,0.73,168.0,103.27,Size_A,10
15.07,6.04,506.04,1.79,168.0,102.22,Size_A,12
14.95,6.18,495.3,1.02,168.0,87.83,Size_A,14
14.86,5.95,497.74,2.13,168.0,105.38,Size_A,15
14.97,6.08,464.23,2.09,168.0,91.08,Size_A,16
15.02,5.93,490.06,1.46,168.0,100.19,Size_A,17
14.95,5.96,514.48,0.96,168.0,99.18,Size_A,18
14.96,6.08,481.05,2.2,168.0,90.23,Size_A,20
14.97,6.19,481.59,1.31,168.0,92.26,Size_A,21
14.86,5.98,454.05,2.53,168.0,91.05,Size_A,22
15.26,5.82,549.49,1.03,168.0,107.74,Size_A,24
14.74,5.8,492.58,1.89,168.0,97.58,Size_A,25
15.01,6.16,541.73,1.31,168.0,103.09,Size_A,26
14.98,6.06,467.12,2.11,168.0,93.91,Size_A,28
14.98,5.97,535.16,1.45,168.0,101.48,Size_A,29
15.13,5.73,432.47,1.97,168.0,83.19,Size_A,30
14.86,5.71,492.67,3.27,168.0,84.26,Size_A,31
14.94,5.39,630.97,1.66,168.0,116.7,Size_A,33
14.82,6.07,525.91,4.3,168.0,68.3,Size_A,34
14.93,5.78,564.22,1.61,168.0,112.16,Size_A,35
14.92,5.9,565.84,1.67,168.0,108.69,Size_A,36
14.9,6.1,455.26,3.37,168.0,81.36,Size_A,37
14.9,5.61,597.62,1.51,168.0,102.64,Size_A,38
14.83,5.41,626.08,1.64,168.0,110.89,Size_A,39
14.89,6.09,417.9,3.04,168.0,70.27,Size_A,40
15.05,6.12,538.15,2.81,168.0,100.14,Size_A,42
50.0,20.0,421.83,3.16,560.0,67.96,Size_B,2
50.0,20.0,441.93,1.97,560.0,78.41,Size_B,4
50.0,20.0,440.5,2.0,560.0,78.83,Size_B,5
50.0,20.0,460.17,1.64,560.0,94.42,Size_B,7
50.0,20.0,431.0,1.75,560.0,77.28,Size_B,8
50.0,20.0,452.0,1.66,560.0,82.07,Size_B,9
50.0,20.0,517.97,0.95,560.0,100.21,Size_B,10
50.0,20.0,483.69,1.73,560.0,98.87,Size_B,11
50.0,20.0,513.31,1.64,560.0,95.51,Size_B,12
50.0,20.0,464.39,1.97,560.0,93.11,Size_B,13
50.0,20.0,572.88,0.88,560.0,109.66,Size_B,14
50.0,20.0,487.17,1.11,560.0,87.32,Size_B,15
50.0,20.0,454.33,1.62,560.0,87.23,Size_B,16
50.0,20.0,491.01,1.84,560.0,100.04,Size_B,17
50.0,20.0,439.93,1.8,560.0,82.61,Size_B,18
50.0,20.0,514.17,1.34,560.0,106.39,Size_B,19
50.0,20.0,512.0,1.68,560.0,102.82,Size_B,20
50.0,20.0,529.28,1.22,560.0,101.72,Size_B,22
50.0,20.0,508.33,1.73,560.0,90.64,Size_B,24
50.0,20.0,517.83,1.73,560.0,106.6,Size_B,25
50.0,20.0,514.67,1.92,560.0,102.86,Size_B,26
50.0,20.0,515.31,1.38,560.0,102.82,Size_B,27
50.0,20.0,448.75,2.56,560.0,78.08,Size_B,28
101.23,40.15,499.38,1.88,1120.0,92.42,Size_C,1
100.62,39.96,487.78,2.35,1120.0,91.03,Size_C,2
99.85,39.6,501.0,1.93,1120.0,83.99,Size_C,3
100.18,40.0,434.43,2.41,1120.0,83.26,Size_C,5
100.04,40.19,408.75,2.61,1120.0,64.96,Size_C,6
100.4,40.02,486.21,1.14,1120.0,89.0,Size_C,8
100.99,39.69,491.04,2.11,1120.0,88.59,Size_C,9
101.1,39.17,501.92,1.78,1120.0,80.6,Size_C,10
100.65,39.87,528.88,1.26,1120.0,89.52,Size_C,11
101.35,39.82,615.31,1.06,1120.0,106.94,Size_C,12
100.77,40.05,499.48,1.5,1120.0,85.53,Size_C,13
100.99,40.02,470.95,2.29,1120.0,85.74,Size_C,14
101.06,39.52,491.98,2.14,1120.0,87.94,Size_C,16
100.84,39.52,496.84,1.79,1120.0,83.18,Size_C,17
100.99,40.25,493.05,1.46,1120.0,72.07,Size_C,18
100.88,40.15,490.25,1.21,1120.0,76.66,Size_C,20
101.26,39.36,605.26,1.15,1120.0,96.53,Size_C,21
100.89,39.8,593.69,1.18,1120.0,86.11,Size_C,22
101.37,39.87,540.21,1.3,1120.0,97.14,Size_C,23
101.08,39.44,530.42,1.3,1120.0,97.36,Size_C,24
100.82,40.34,538.61,1.32,1120.0,99.94,Size_C,25
101.0,40.0,506.0,1.72,1120.0,87.0,Size_C,27
0.0,0.0,45.0,0.48,0.0,9.0,Size_C,29
